purchase_order_item_id,purchase_order_id,product_id,quantity,unit_cost
POI00000168,PO0000529,PRD00495,407,13954.44
POI00000169,PO0006515,PRD00184,61,6913.99
POI00000170,PO0009494,PRD00275,235,2070.47
POI00000171,PO0007092,PRD00586,121,4430.6
POI00000172,PO0008974,PRD00451,475,11303.64
POI00000173,PO0001033,PRD00075,301,3718.44
POI00000174,PO0000837,PRD00918,480,1087.91
POI00000175,PO0004371,PRD00655,427,136.93
POI00000176,PO0009449,PRD00914,135,14209.47
POI00000177,PO0001501,PRD00956,468,3221.73
POI00000178,PO0000637,PRD00949,389,13353.32
POI00000179,PO0006123,PRD00507,435,8978.67
POI00000180,PO0005498,PRD00542,37,3815.81
POI00000181,PO0005628,PRD00573,47,5628.29
POI00000182,PO0006140,PRD00269,195,6484.24
POI00000183,PO0000103,PRD00195,305,8830.06
POI00000184,PO0007878,PRD00046,74,2330.39
POI00000185,PO0002913,PRD00221,483,13068.22
POI00000186,PO0003937,PRD00261,284,11887.4
POI00000187,PO0007762,PRD00878,330,13841.49
POI00000188,PO0009206,PRD00315,452,12650.55
POI00000189,PO0007288,PRD00260,481,500.56
POI00000190,PO0001680,PRD00494,176,12749.77
POI00000191,PO0004911,PRD00096,470,4636.27
POI00000192,PO0002917,PRD00772,62,11409.05
POI00000193,PO0006261,PRD00631,404,968.57
POI00000194,PO0003868,PRD00362,149,837.42
POI00000195,PO0006153,PRD00368,148,13705.39
POI00000196,PO0006126,PRD00393,29,755.72
POI00000197,PO0003523,PRD00732,399,5677.87
POI00000198,PO0007556,PRD00162,130,287.67
POI00000199,PO0006551,PRD00794,20,14754.3
POI00000200,PO0008265,PRD00578,71,3487.79
POI00000201,PO0009757,PRD00128,167,8314.61
POI00000202,PO0008614,PRD00237,354,10209.15
POI00000203,PO0006095,PRD00368,291,13705.39
POI00000204,PO0001300,PRD00587,281,7001.79
POI00000205,PO0004817,PRD00634,222,11006.69
POI00000206,PO0007355,PRD00043,269,6795.04
POI00000207,PO0009851,PRD00718,144,12946.92
POI00000208,PO0009125,PRD00612,193,12339.55
POI00000209,PO0008555,PRD00638,213,14235.92
POI00000210,PO0007552,PRD00644,416,5838.18
POI00000211,PO0003476,PRD00150,28,4175.25
POI00000212,PO0001835,PRD00604,181,14528.53
POI00000213,PO0000679,PRD00608,421,2030.27
POI00000214,PO0003229,PRD00938,500,14690.74
POI00000215,PO0009080,PRD00142,127,3723.43
POI00000216,PO0009988,PRD00805,122,6473.34
POI00000217,PO0009994,PRD00170,67,12518.7
POI00000218,PO0003091,PRD00392,413,5987.55
POI00000219,PO0004066,PRD00297,410,3281.39
POI00000220,PO0005742,PRD00806,11,164.23
POI00000221,PO0001751,PRD00118,348,13920.88
POI00000222,PO0009393,PRD00531,342,7772.95
POI00000223,PO0000759,PRD00966,478,6230.08
POI00000224,PO0008931,PRD00216,498,12937.52
POI00000225,PO0002447,PRD00574,106,11589.74
POI00000226,PO0000577,PRD00938,98,14690.74
POI00000227,PO0006418,PRD00897,55,11763.99
POI00000228,PO0007255,PRD00679,301,5120.96
POI00000229,PO0003387,PRD00289,219,5500.6
POI00000230,PO0002239,PRD00876,86,12469.02
POI00000231,PO0005079,PRD00668,363,3092.64
POI00000232,PO0000865,PRD00520,260,12944.02
POI00000233,PO0008206,PRD00543,486,5993.42
POI00000234,PO0000034,PRD00233,333,9106.69
POI00000235,PO0000492,PRD00409,398,13153.77
POI00000236,PO0006459,PRD00529,402,7382.72
POI00000237,PO0003184,PRD00937,63,5526.96
POI00000238,PO0005450,PRD00094,209,8406.45
POI00000239,PO0008546,PRD00736,154,4572.66
POI00000240,PO0007689,PRD00362,170,837.42
POI00000241,PO0002911,PRD00251,243,3571.32
POI00000242,PO0008770,PRD00359,279,14333.28
POI00000243,PO0004522,PRD00837,328,2785.86
POI00000244,PO0003751,PRD00886,258,8868.6
POI00000245,PO0007834,PRD00711,73,14208.1
POI00000246,PO0006978,PRD00794,313,14754.3
POI00000247,PO0000993,PRD00327,53,11465.77
POI00000248,PO0006418,PRD00406,31,6081.8
POI00000249,PO0005507,PRD00135,339,7084.8
POI00000250,PO0009699,PRD00582,202,12403.88
POI00000251,PO0008998,PRD00554,396,5324.91
POI00000252,PO0001893,PRD00973,126,4327.38
POI00000253,PO0009653,PRD00221,146,13068.22
POI00000254,PO0006179,PRD00115,158,12984.47
POI00000255,PO0000944,PRD00125,78,12971.28
POI00000256,PO0004311,PRD00495,123,13954.44
POI00000257,PO0000444,PRD00100,442,3533.63
POI00000258,PO0003269,PRD00232,454,6790.03
POI00000259,PO0001513,PRD00609,181,8768.27
POI00000260,PO0006446,PRD00833,351,703.26
POI00000261,PO0006077,PRD00941,87,2714.98
POI00000262,PO0002386,PRD00439,482,7978.91
POI00000263,PO0002632,PRD00413,149,6171.23
POI00000264,PO0001803,PRD00849,362,10933.19
POI00000265,PO0008564,PRD00671,21,13764.06
POI00000266,PO0005840,PRD00707,298,5200.05
POI00000267,PO0001396,PRD00538,72,1565.66
POI00000268,PO0000805,PRD00716,322,7985.19
POI00000269,PO0004474,PRD00973,481,4327.38
POI00000270,PO0004359,PRD00712,176,5380.83
POI00000271,PO0001373,PRD00846,367,5432.42
POI00000272,PO0003170,PRD00912,242,13951.33
POI00000273,PO0002917,PRD00418,484,848.93
POI00000274,PO0004265,PRD00665,228,13549.44
POI00000275,PO0001828,PRD00265,354,1738.91
POI00000276,PO0002021,PRD00178,354,4216.94
POI00000277,PO0004300,PRD00930,287,3393.62
POI00000278,PO0005863,PRD00840,271,1992.97
POI00000279,PO0005583,PRD00290,198,2210.27
POI00000280,PO0001805,PRD00293,397,14236.45
POI00000281,PO0003845,PRD00954,205,6256.72
POI00000282,PO0000013,PRD00171,12,3321.66
POI00000283,PO0000522,PRD00926,207,11701.76
POI00000284,PO0006384,PRD00469,42,4552.3
POI00000285,PO0005160,PRD00090,414,7083.4
POI00000286,PO0003532,PRD00426,412,11443.5
POI00000287,PO0003520,PRD00907,299,14636.64
POI00000288,PO0005783,PRD00085,127,2937.79
POI00000289,PO0006628,PRD00412,67,14128.47
POI00000290,PO0002560,PRD00355,372,10597.12
POI00000291,PO0006670,PRD00103,97,12413.34
POI00000292,PO0001951,PRD00940,368,12016.56
POI00000293,PO0003279,PRD00618,412,7236.89
POI00000294,PO0005949,PRD00470,151,10835.82
POI00000295,PO0007722,PRD00781,336,10401.92
POI00000296,PO0007795,PRD00274,125,11015.48
POI00000297,PO0004614,PRD00198,82,2388.57
POI00000298,PO0001850,PRD00099,286,6175.08
POI00000299,PO0006427,PRD00788,191,13824.18
POI00000300,PO0009735,PRD00498,259,515.55
POI00000301,PO0005630,PRD00885,149,14081.25
POI00000302,PO0003762,PRD00989,159,12965.77
POI00000303,PO0003656,PRD00092,399,1185.31
POI00000304,PO0003130,PRD00630,320,12112.17
POI00000305,PO0006187,PRD00059,409,7096.98
POI00000306,PO0003410,PRD00315,401,12650.55
POI00000307,PO0004016,PRD00888,189,4306.34
POI00000308,PO0007102,PRD00969,198,11985.63
POI00000309,PO0003425,PRD00520,257,12944.02
POI00000310,PO0004509,PRD00590,384,14268.77
POI00000311,PO0005964,PRD00693,53,12868.1
POI00000312,PO0009854,PRD00556,456,11702.23
POI00000313,PO0008610,PRD00030,23,7017.62
POI00000314,PO0006873,PRD00117,455,9411.1
POI00000315,PO0004047,PRD00835,168,6236.81
POI00000316,PO0003884,PRD00412,240,14128.47
POI00000317,PO0005788,PRD00428,477,322.0
POI00000318,PO0009472,PRD00996,269,12098.44
POI00000319,PO0000517,PRD00162,325,287.67
POI00000320,PO0009431,PRD00336,350,14628.24
POI00000321,PO0002424,PRD00162,202,287.67
POI00000322,PO0002726,PRD00754,80,2784.41
POI00000323,PO0008109,PRD00840,284,1992.97
POI00000324,PO0009433,PRD00336,351,14628.24
POI00000325,PO0008594,PRD00872,95,13370.7
POI00000326,PO0003168,PRD00507,25,8978.67
POI00000327,PO0006469,PRD00470,196,10835.82
POI00000328,PO0001474,PRD00335,124,12393.64
POI00000329,PO0005699,PRD00932,30,12917.17
POI00000330,PO0003710,PRD00709,469,12622.33
POI00000331,PO0004727,PRD00355,466,10597.12
POI00000332,PO0001672,PRD00936,155,5539.59
POI00000333,PO0002962,PRD00710,152,7104.05
POI00000334,PO0007753,PRD00617,139,9490.86
POI00000335,PO0004144,PRD00261,371,11887.4
POI00000336,PO0004184,PRD00401,465,8016.45
POI00000337,PO0005847,PRD00992,312,10351.03
POI00000338,PO0000374,PRD00332,431,13246.24
POI00000339,PO0006466,PRD00459,319,11986.98
POI00000340,PO0008966,PRD00191,113,6029.05
POI00000341,PO0001124,PRD00125,344,12971.28
POI00000342,PO0009164,PRD00982,499,2789.53
POI00000343,PO0007271,PRD00530,54,5677.57
POI00000344,PO0005176,PRD00434,303,7897.25
POI00000345,PO0006836,PRD00410,385,4563.47
POI00000346,PO0003908,PRD00191,454,6029.05
POI00000347,PO0006307,PRD00352,339,10163.96
POI00000348,PO0000807,PRD00081,30,3386.22
POI00000349,PO0009512,PRD00517,354,8167.29
POI00000350,PO0007623,PRD00568,66,4707.73
POI00000351,PO0008583,PRD00129,296,14713.16
POI00000352,PO0003021,PRD00926,490,11701.76
POI00000353,PO0009540,PRD00533,99,10985.5
POI00000354,PO0000845,PRD00273,140,3864.46
POI00000355,PO0005598,PRD00705,217,14962.24
POI00000356,PO0008738,PRD00038,67,11694.03
POI00000357,PO0004443,PRD00143,149,2616.16
POI00000358,PO0004321,PRD00013,56,14644.99
POI00000359,PO0000003,PRD00451,300,11303.64
POI00000360,PO0000372,PRD00719,390,9495.01
POI00000361,PO0004071,PRD00834,130,4625.99
POI00000362,PO0009080,PRD00719,69,9495.01
POI00000363,PO0000043,PRD00469,370,4552.3
POI00000364,PO0003671,PRD00874,357,13187.35
POI00000365,PO0003780,PRD00515,486,11728.64
POI00000366,PO0008137,PRD00158,371,12470.65
POI00000367,PO0002575,PRD00258,454,13278.68
POI00000368,PO0004521,PRD00373,189,5013.81
POI00000369,PO0001329,PRD00090,205,7083.4
POI00000370,PO0007698,PRD00986,290,7134.56
POI00000371,PO0002786,PRD00241,204,2003.96
POI00000372,PO0001452,PRD00056,242,2104.64
POI00000373,PO0003743,PRD00441,265,3675.25
POI00000374,PO0005972,PRD00565,222,1309.82
POI00000375,PO0009245,PRD00498,329,515.55
POI00000376,PO0007918,PRD00757,291,1024.97
POI00000377,PO0000065,PRD00978,240,10928.44
POI00000378,PO0003550,PRD00318,413,13343.83
POI00000379,PO0008632,PRD00546,267,218.56
POI00000380,PO0005642,PRD00095,311,11653.35
POI00000381,PO0004994,PRD00026,253,10030.04
POI00000382,PO0000898,PRD00215,327,7543.91
POI00000383,PO0009375,PRD00811,92,13260.28
POI00000384,PO0004204,PRD00271,347,14304.78
POI00000385,PO0004887,PRD00557,359,7804.82
POI00000386,PO0004855,PRD00302,266,7670.64
POI00000387,PO0003830,PRD00189,35,1559.74
POI00000388,PO0009750,PRD00270,348,2874.72
POI00000389,PO0006540,PRD00817,226,13482.36
POI00000390,PO0007011,PRD00420,398,7232.56
POI00000391,PO0006827,PRD00893,429,14877.64
POI00000392,PO0006483,PRD00921,122,10131.57
POI00000393,PO0007990,PRD00357,420,1898.36
POI00000394,PO0003740,PRD00380,263,10416.11
POI00000395,PO0009737,PRD00269,53,6484.24
POI00000396,PO0003817,PRD00988,403,3859.43
POI00000397,PO0005645,PRD00636,100,3410.7
POI00000398,PO0004033,PRD00245,195,2944.72
POI00000399,PO0000307,PRD00615,477,9737.39
POI00000400,PO0008914,PRD00369,52,11836.37
POI00000401,PO0009293,PRD00342,486,10654.4
POI00000402,PO0004754,PRD00863,359,7788.61
POI00000403,PO0008987,PRD00839,178,1545.18
POI00000404,PO0009469,PRD00797,344,11156.8
POI00000405,PO0009937,PRD00794,290,14754.3
POI00000406,PO0002055,PRD00089,90,9597.02
POI00000407,PO0008020,PRD00228,262,7076.3
POI00000408,PO0005377,PRD00036,263,10797.72
POI00000409,PO0009096,PRD00328,290,13195.81
POI00000410,PO0008487,PRD00533,358,10985.5
POI00000411,PO0005742,PRD00872,219,13370.7
POI00000412,PO0004350,PRD00867,369,2868.63
POI00000413,PO0002287,PRD00004,274,10337.46
POI00000414,PO0001903,PRD00994,119,971.84
POI00000415,PO0006396,PRD00927,329,9238.3
POI00000416,PO0000050,PRD00298,187,1909.75
POI00000417,PO0007995,PRD00045,204,3578.64
POI00000418,PO0004917,PRD00489,99,5226.91
POI00000419,PO0008602,PRD00612,177,12339.55
POI00000420,PO0008660,PRD00105,481,7072.97
POI00000421,PO0008945,PRD00632,323,12709.49
POI00000422,PO0005688,PRD00369,425,11836.37
POI00000423,PO0004446,PRD00872,191,13370.7
POI00000424,PO0005185,PRD00804,165,14440.13
POI00000425,PO0007428,PRD00793,338,871.73
POI00000426,PO0002938,PRD00234,442,12179.62
POI00000427,PO0006848,PRD00849,448,10933.19
POI00000428,PO0008457,PRD00689,190,10243.12
POI00000429,PO0008954,PRD00041,325,14254.59
POI00000430,PO0007058,PRD00970,425,2893.48
POI00000431,PO0007762,PRD00963,129,8895.2
POI00000432,PO0007589,PRD00883,384,13462.78
POI00000433,PO0007665,PRD00274,170,11015.48
POI00000434,PO0000926,PRD00773,191,8251.54
POI00000435,PO0008944,PRD00645,238,13236.02
POI00000436,PO0003370,PRD00820,170,12985.07
POI00000437,PO0003610,PRD00134,14,10858.86
POI00000438,PO0001871,PRD00003,500,4143.44
POI00000439,PO0005204,PRD00892,457,3978.64
POI00000440,PO0000187,PRD00129,166,14713.16
POI00000441,PO0003144,PRD00974,148,12813.95
POI00000442,PO0004629,PRD00922,491,7190.21
POI00000443,PO0006061,PRD00326,434,12217.09
POI00000444,PO0001605,PRD00594,98,6920.19
POI00000445,PO0000709,PRD00902,239,10889.46
POI00000446,PO0008888,PRD00974,262,12813.95
POI00000447,PO0002763,PRD00523,125,12097.17
POI00000448,PO0004451,PRD00671,278,13764.06
POI00000449,PO0003343,PRD00181,114,2679.75
POI00000450,PO0006863,PRD00128,459,8314.61
POI00000451,PO0002510,PRD00990,290,4921.74
POI00000452,PO0008481,PRD00779,420,14460.71
POI00000453,PO0004472,PRD00671,216,13764.06
POI00000454,PO0008587,PRD00212,105,194.69
POI00000455,PO0004860,PRD00251,369,3571.32
POI00000456,PO0005202,PRD00615,112,9737.39
POI00000457,PO0006783,PRD00556,146,11702.23
POI00000458,PO0005369,PRD00438,426,314.72
POI00000459,PO0004195,PRD00722,355,9531.63
POI00000460,PO0006224,PRD00716,418,7985.19
POI00000461,PO0008042,PRD00443,36,8509.83
POI00000462,PO0007316,PRD00594,327,6920.19
POI00000463,PO0002356,PRD00315,328,12650.55
POI00000464,PO0009741,PRD00420,393,7232.56
POI00000465,PO0008721,PRD00887,186,6428.3
POI00000466,PO0007484,PRD00084,78,1880.19
POI00000467,PO0005485,PRD00479,258,11981.47
POI00000468,PO0004290,PRD00233,454,9106.69
POI00000469,PO0002496,PRD00917,195,13456.14
POI00000470,PO0005916,PRD00697,68,6403.2
POI00000471,PO0006247,PRD00957,328,8262.63
POI00000472,PO0000722,PRD00471,246,1676.03
POI00000473,PO0006955,PRD00241,446,2003.96
POI00000474,PO0002343,PRD00925,248,3105.28
POI00000475,PO0001939,PRD00207,103,13259.47
POI00000476,PO0002050,PRD00810,281,6285.69
POI00000477,PO0005402,PRD00311,41,5242.66
POI00000478,PO0003882,PRD00204,394,1118.21
POI00000479,PO0006183,PRD00088,374,759.09
POI00000480,PO0000586,PRD00471,212,1676.03
POI00000481,PO0007496,PRD00119,311,510.73
POI00000482,PO0000640,PRD00881,93,13176.07
POI00000483,PO0003269,PRD00826,170,9650.03
POI00000484,PO0005274,PRD00463,492,6510.21
POI00000485,PO0006165,PRD00735,109,8245.45
POI00000486,PO0009730,PRD00600,481,6787.54
POI00000487,PO0002511,PRD00789,495,7598.09
POI00000488,PO0003458,PRD00799,440,14353.99
POI00000489,PO0001425,PRD00686,313,2956.03
POI00000490,PO0005168,PRD00435,376,11483.94
POI00000491,PO0007636,PRD00193,339,1081.63
POI00000492,PO0006638,PRD00775,61,1675.87
POI00000493,PO0009682,PRD00073,496,7015.92
POI00000494,PO0005287,PRD00576,487,6871.55
POI00000495,PO0007448,PRD00171,254,3321.66
POI00000496,PO0006724,PRD00668,408,3092.64
POI00000497,PO0003903,PRD00229,181,5330.98
POI00000498,PO0004328,PRD00602,301,12799.03
POI00000499,PO0007849,PRD00566,211,1327.27
POI00000500,PO0005328,PRD00826,158,9650.03
POI00000501,PO0009447,PRD00192,344,10003.41
POI00000502,PO0002806,PRD00029,161,4613.81
POI00000503,PO0009860,PRD00709,224,12622.33
POI00000504,PO0009480,PRD00372,139,12777.81
POI00000505,PO0009488,PRD00192,287,10003.41
POI00000506,PO0001095,PRD00496,209,5018.37
POI00000507,PO0006253,PRD00999,207,8190.82
POI00000508,PO0008188,PRD00001,449,9837.33
POI00000509,PO0004105,PRD00389,253,10776.42
POI00000510,PO0000211,PRD00755,316,12949.63
POI00000511,PO0003830,PRD00017,228,12322.4
POI00000512,PO0007439,PRD00343,345,10133.19
POI00000513,PO0000186,PRD00688,484,5575.81
POI00000514,PO0002415,PRD00676,88,4189.18
POI00000515,PO0007207,PRD00555,388,9697.74
POI00000516,PO0004413,PRD00212,126,194.69
POI00000517,PO0006336,PRD00221,224,13068.22
POI00000518,PO0006844,PRD00251,390,3571.32
POI00000519,PO0009687,PRD00256,292,4333.14
POI00000520,PO0000600,PRD00634,276,11006.69
POI00000521,PO0002813,PRD00659,134,2838.43
POI00000522,PO0004949,PRD00702,300,12933.45
POI00000523,PO0000940,PRD00508,178,9561.68
POI00000524,PO0006586,PRD00530,379,5677.57
POI00000525,PO0000605,PRD00714,181,7100.41
POI00000526,PO0003550,PRD00367,400,13626.42
POI00000527,PO0002770,PRD00676,181,4189.18
POI00000528,PO0001340,PRD00338,313,755.93
POI00000529,PO0001665,PRD00467,421,10304.91
POI00000530,PO0009478,PRD00210,16,5229.98
POI00000531,PO0000255,PRD00783,486,6326.48
POI00000532,PO0006533,PRD00220,371,3710.28
POI00000533,PO0001086,PRD00067,312,10482.12
POI00000534,PO0000463,PRD00760,224,2297.92
POI00000535,PO0003937,PRD00352,452,10163.96
POI00000536,PO0007234,PRD00318,472,13343.83
POI00000537,PO0005526,PRD00424,131,7036.46
POI00000538,PO0008712,PRD00264,144,12537.65
POI00000539,PO0002359,PRD00813,414,1791.65
POI00000540,PO0001650,PRD00839,49,1545.18
POI00000541,PO0006579,PRD00152,145,9137.41
POI00000542,PO0004215,PRD00733,473,8941.35
POI00000543,PO0004584,PRD00508,95,9561.68
POI00000544,PO0006097,PRD00693,63,12868.1
POI00000545,PO0001667,PRD00913,439,7633.07
POI00000546,PO0007847,PRD00640,61,14055.38
POI00000547,PO0001463,PRD00577,329,5565.9
POI00000548,PO0002308,PRD00236,160,5509.36
POI00000549,PO0000220,PRD00098,475,2423.29
POI00000550,PO0001074,PRD00428,454,322.0
POI00000551,PO0009715,PRD00155,326,11846.07
POI00000552,PO0002784,PRD00024,345,5514.18
POI00000553,PO0008752,PRD00704,81,9935.11
POI00000554,PO0005227,PRD00918,148,1087.91
POI00000555,PO0006501,PRD00695,296,7153.53
POI00000556,PO0007341,PRD00996,81,12098.44
POI00000557,PO0008501,PRD00410,86,4563.47
POI00000558,PO0000816,PRD00514,184,4437.98
