order_id,customer_id,order_date,order_status
ORD0000045,CUS008574,2026-04-03,Delivered
ORD0000046,CUS004867,2026-06-27,Processing
ORD0000047,CUS002041,2025-12-06,Delivered
ORD0000048,CUS001849,2026-06-18,Delivered
ORD0000049,CUS001974,2025-08-10,Delivered
ORD0000050,CUS002132,2026-05-19,Delivered
ORD0000051,CUS003688,2026-07-21,Delivered
ORD0000052,CUS007495,2025-07-07,Shipped
ORD0000053,CUS003333,2025-11-24,Delivered
ORD0000054,CUS006103,2026-06-27,Delivered
ORD0000055,CUS004612,2025-11-23,Delivered
ORD0000056,CUS005497,2025-01-28,Shipped
ORD0000057,CUS005766,2025-11-01,Delivered
ORD0000058,CUS001848,2025-07-16,Delivered
ORD0000059,CUS000665,2025-07-26,Delivered
ORD0000060,CUS002592,2026-05-04,Delivered
ORD0000061,CUS001922,2025-11-03,Delivered
ORD0000062,CUS000207,2025-10-12,Delivered
ORD0000063,CUS007733,2026-04-27,Processing
ORD0000064,CUS009257,2026-07-19,Delivered
ORD0000065,CUS005838,2026-03-07,Delivered
ORD0000066,CUS000169,2025-07-28,Delivered
ORD0000067,CUS005135,2025-01-01,Delivered
ORD0000068,CUS009939,2025-11-08,Delivered
ORD0000069,CUS006058,2025-10-16,Delivered
ORD0000070,CUS007451,2025-08-24,Delivered
ORD0000071,CUS006497,2025-08-01,Delivered
ORD0000072,CUS003296,2026-08-13,Processing
ORD0000073,CUS005118,2026-04-07,Delivered
ORD0000074,CUS007804,2025-10-08,Delivered
ORD0000075,CUS002606,2025-05-04,Delivered
ORD0000076,CUS005153,2026-01-22,Processing
ORD0000077,CUS003968,2025-03-16,Delivered
ORD0000078,CUS000763,2026-03-03,Delivered
ORD0000079,CUS002356,2025-03-03,Delivered
ORD0000080,CUS008372,2025-12-21,Shipped
ORD0000081,CUS005112,2026-01-18,Delivered
ORD0000082,CUS007938,2025-02-22,Delivered
ORD0000083,CUS009435,2025-01-18,Delivered
ORD0000084,CUS009982,2025-12-30,Delivered
ORD0000085,CUS007132,2026-04-29,Delivered
ORD0000086,CUS003364,2025-09-24,Delivered
ORD0000087,CUS009417,2026-05-21,Delivered
ORD0000088,CUS009122,2026-02-06,Shipped
ORD0000089,CUS003648,2025-05-14,Delivered
ORD0000090,CUS002071,2026-05-18,Delivered
ORD0000091,CUS000103,2025-09-27,Delivered
ORD0000092,CUS009363,2025-12-05,Shipped
ORD0000093,CUS000377,2025-09-07,Delivered
ORD0000094,CUS007937,2025-10-29,Delivered
ORD0000095,CUS005368,2025-10-19,Cancelled
ORD0000096,CUS005376,2025-02-08,Shipped
ORD0000097,CUS004477,2025-04-16,Delivered
ORD0000098,CUS000995,2025-01-14,Delivered
ORD0000099,CUS006879,2025-09-06,Processing
ORD0000100,CUS000175,2025-06-15,Delivered
ORD0000101,CUS005931,2026-01-30,Delivered
ORD0000102,CUS009818,2025-02-10,Delivered
ORD0000103,CUS001719,2025-04-12,Delivered
ORD0000104,CUS002446,2026-01-08,Delivered
ORD0000105,CUS007557,2026-07-24,Processing
ORD0000106,CUS004295,2026-05-10,Cancelled
ORD0000107,CUS009139,2025-01-07,Delivered
ORD0000108,CUS009461,2026-06-22,Delivered
ORD0000109,CUS003477,2026-03-29,Delivered
ORD0000110,CUS001925,2025-03-18,Shipped
ORD0000111,CUS004759,2026-01-07,Shipped
ORD0000112,CUS001050,2025-11-27,Processing
ORD0000113,CUS003998,2026-03-08,Delivered
ORD0000114,CUS008513,2026-08-27,Delivered
ORD0000115,CUS007567,2026-07-02,Delivered
ORD0000116,CUS007457,2025-01-02,Delivered
ORD0000117,CUS009047,2025-09-16,Shipped
ORD0000118,CUS002250,2026-07-16,Delivered
ORD0000119,CUS008048,2026-07-20,Delivered
ORD0000120,CUS001573,2025-12-28,Delivered
ORD0000121,CUS008879,2026-08-25,Delivered
ORD0000122,CUS003066,2026-07-14,Delivered
ORD0000123,CUS007195,2025-07-18,Delivered
ORD0000124,CUS005686,2025-12-16,Delivered
ORD0000125,CUS006666,2026-04-30,Shipped
ORD0000126,CUS009081,2025-04-07,Delivered
ORD0000127,CUS003221,2025-09-16,Delivered
ORD0000128,CUS003348,2025-01-07,Delivered
ORD0000129,CUS006682,2025-06-14,Delivered
ORD0000130,CUS000353,2025-10-27,Delivered
ORD0000131,CUS007998,2026-03-07,Delivered
ORD0000132,CUS008213,2025-06-26,Delivered
ORD0000133,CUS001391,2025-09-04,Delivered
ORD0000134,CUS000475,2025-11-09,Shipped
ORD0000135,CUS002910,2025-07-05,Processing
ORD0000136,CUS008372,2026-02-17,Delivered
ORD0000137,CUS005113,2025-01-05,Delivered
ORD0000138,CUS009162,2025-06-07,Shipped
ORD0000139,CUS005677,2025-02-25,Delivered
ORD0000140,CUS002641,2025-04-20,Delivered
ORD0000141,CUS005168,2025-06-23,Shipped
ORD0000142,CUS007237,2026-06-23,Delivered
ORD0000143,CUS003024,2026-04-19,Delivered
ORD0000144,CUS003231,2025-12-20,Delivered
ORD0000145,CUS006806,2026-03-11,Delivered
ORD0000146,CUS003646,2026-06-28,Delivered
ORD0000147,CUS003608,2025-01-18,Delivered
ORD0000148,CUS002268,2025-06-02,Shipped
ORD0000149,CUS001122,2026-03-12,Delivered
ORD0000150,CUS001753,2025-04-01,Delivered
ORD0000151,CUS004005,2025-07-09,Processing
ORD0000152,CUS008601,2025-01-17,Delivered
ORD0000153,CUS009200,2026-06-23,Processing
ORD0000154,CUS001253,2025-03-04,Processing
ORD0000155,CUS002232,2025-05-26,Delivered
ORD0000156,CUS006805,2025-09-28,Delivered
ORD0000157,CUS001559,2025-12-25,Processing
ORD0000158,CUS007258,2025-03-03,Delivered
ORD0000159,CUS000772,2025-10-07,Delivered
ORD0000160,CUS000565,2025-12-23,Shipped
ORD0000161,CUS001311,2026-08-27,Processing
ORD0000162,CUS007562,2025-03-10,Delivered
ORD0000163,CUS000461,2025-04-30,Delivered
ORD0000164,CUS002022,2026-06-07,Shipped
ORD0000165,CUS001036,2025-03-27,Cancelled
ORD0000166,CUS004961,2025-11-27,Delivered
ORD0000167,CUS002648,2025-04-20,Delivered
ORD0000168,CUS001243,2025-12-18,Delivered
ORD0000169,CUS008253,2025-04-27,Cancelled
ORD0000170,CUS005432,2026-04-12,Shipped
ORD0000171,CUS002978,2025-03-03,Cancelled
ORD0000172,CUS000681,2026-02-09,Delivered
ORD0000173,CUS009651,2025-07-19,Delivered
ORD0000174,CUS000136,2026-05-12,Delivered
ORD0000175,CUS001552,2026-03-26,Delivered
ORD0000176,CUS003943,2025-10-19,Delivered
ORD0000177,CUS001761,2026-05-20,Processing
ORD0000178,CUS006061,2025-04-06,Delivered
ORD0000179,CUS004192,2025-04-24,Delivered
ORD0000180,CUS008220,2026-01-26,Shipped
ORD0000181,CUS005212,2025-05-04,Shipped
ORD0000182,CUS009274,2026-02-24,Delivered
ORD0000183,CUS004848,2025-12-24,Delivered
ORD0000184,CUS005560,2026-07-07,Shipped
ORD0000185,CUS007661,2025-03-08,Shipped
ORD0000186,CUS006833,2025-12-10,Processing
ORD0000187,CUS007750,2025-07-09,Delivered
ORD0000188,CUS003762,2025-02-27,Delivered
ORD0000189,CUS005045,2025-07-17,Processing
ORD0000190,CUS009457,2026-05-03,Delivered
ORD0000191,CUS009022,2025-03-13,Processing
ORD0000192,CUS006910,2025-07-17,Delivered
ORD0000193,CUS006180,2025-07-16,Processing
ORD0000194,CUS006048,2025-10-04,Shipped
ORD0000195,CUS008291,2026-06-25,Processing
ORD0000196,CUS008935,2026-07-20,Delivered
ORD0000197,CUS007785,2026-01-16,Delivered
ORD0000198,CUS000384,2025-03-28,Delivered
ORD0000199,CUS005913,2026-03-30,Shipped
ORD0000200,CUS007101,2026-04-29,Delivered
ORD0000201,CUS007568,2025-05-15,Cancelled
ORD0000202,CUS006389,2025-03-15,Delivered
ORD0000203,CUS004671,2025-04-16,Processing
ORD0000204,CUS000541,2025-06-26,Shipped
ORD0000205,CUS003388,2025-09-13,Delivered
ORD0000206,CUS006399,2025-12-24,Delivered
ORD0000207,CUS008202,2026-06-26,Delivered
ORD0000208,CUS007650,2025-03-09,Delivered
ORD0000209,CUS007651,2026-07-04,Delivered
ORD0000210,CUS001908,2026-07-29,Delivered
ORD0000211,CUS001018,2026-03-16,Delivered
ORD0000212,CUS004270,2026-06-18,Delivered
ORD0000213,CUS000996,2026-04-23,Delivered
ORD0000214,CUS008600,2026-03-26,Delivered
ORD0000215,CUS005009,2025-04-12,Delivered
ORD0000216,CUS004296,2025-08-31,Shipped
ORD0000217,CUS009866,2025-10-15,Delivered
ORD0000218,CUS002860,2025-06-22,Delivered
ORD0000219,CUS009780,2026-03-01,Shipped
ORD0000220,CUS008558,2025-12-19,Delivered
ORD0000221,CUS003740,2025-04-21,Shipped
ORD0000222,CUS003822,2026-07-02,Processing
ORD0000223,CUS004985,2025-07-13,Delivered
ORD0000224,CUS005525,2025-03-23,Delivered
ORD0000225,CUS002609,2025-07-04,Delivered
ORD0000226,CUS007437,2026-04-19,Delivered
ORD0000227,CUS008740,2025-04-02,Delivered
ORD0000228,CUS006428,2026-02-26,Delivered
ORD0000229,CUS003360,2025-01-24,Delivered
ORD0000230,CUS008071,2025-04-17,Delivered
ORD0000231,CUS008864,2026-05-29,Delivered
ORD0000232,CUS007557,2026-04-28,Delivered
ORD0000233,CUS009488,2026-06-22,Delivered
ORD0000234,CUS003957,2025-06-19,Delivered
ORD0000235,CUS007385,2025-03-01,Delivered
ORD0000236,CUS005236,2026-04-29,Delivered
ORD0000237,CUS000849,2026-07-22,Delivered
ORD0000238,CUS003064,2025-01-06,Processing
ORD0000239,CUS004455,2025-12-06,Delivered
ORD0000240,CUS006469,2026-02-23,Shipped
ORD0000241,CUS000031,2025-01-04,Delivered
ORD0000242,CUS000431,2026-03-03,Delivered
ORD0000243,CUS006057,2025-07-06,Shipped
ORD0000244,CUS008535,2025-06-10,Processing
ORD0000245,CUS009154,2026-04-12,Delivered
ORD0000246,CUS000182,2025-09-27,Delivered
ORD0000247,CUS009528,2025-09-27,Processing
ORD0000248,CUS004395,2025-01-28,Delivered
ORD0000249,CUS001707,2025-05-04,Delivered
ORD0000250,CUS002240,2026-05-23,Delivered
ORD0000251,CUS009341,2025-07-15,Processing
ORD0000252,CUS000528,2026-03-27,Shipped
ORD0000253,CUS005385,2026-08-05,Shipped
ORD0000254,CUS003190,2025-08-18,Shipped
ORD0000255,CUS009682,2025-02-27,Delivered
ORD0000256,CUS008633,2025-06-14,Delivered
ORD0000257,CUS000321,2026-03-14,Delivered
ORD0000258,CUS005202,2025-09-22,Delivered
ORD0000259,CUS001350,2025-02-16,Delivered
ORD0000260,CUS004813,2025-09-12,Shipped
ORD0000261,CUS001971,2025-10-05,Shipped
ORD0000262,CUS005869,2025-12-19,Processing
ORD0000263,CUS007757,2025-02-23,Delivered
ORD0000264,CUS000509,2025-04-12,Delivered
ORD0000265,CUS009089,2025-01-11,Delivered
ORD0000266,CUS008367,2026-06-12,Delivered
ORD0000267,CUS002372,2025-06-02,Delivered
ORD0000268,CUS000565,2025-02-26,Delivered
ORD0000269,CUS001762,2025-05-28,Shipped
ORD0000270,CUS006628,2025-11-23,Shipped
ORD0000271,CUS006973,2025-06-27,Delivered
ORD0000272,CUS008068,2026-04-29,Delivered
ORD0000273,CUS001704,2025-11-17,Delivered
ORD0000274,CUS009827,2026-06-02,Delivered
ORD0000275,CUS000258,2026-04-05,Delivered
ORD0000276,CUS009754,2025-01-28,Delivered
ORD0000277,CUS005616,2026-04-23,Delivered
ORD0000278,CUS009549,2026-06-12,Delivered
ORD0000279,CUS002425,2025-09-25,Delivered
ORD0000280,CUS005680,2025-08-04,Delivered
ORD0000281,CUS009139,2025-04-21,Delivered
ORD0000282,CUS008398,2025-03-22,Shipped
ORD0000283,CUS003738,2025-07-22,Delivered
ORD0000284,CUS001163,2025-12-04,Shipped
ORD0000285,CUS003230,2025-03-02,Delivered
ORD0000286,CUS001810,2026-02-24,Delivered
ORD0000287,CUS005907,2026-05-11,Cancelled
ORD0000288,CUS001406,2026-06-04,Cancelled
ORD0000289,CUS003932,2026-06-23,Shipped
ORD0000290,CUS000353,2026-04-22,Shipped
ORD0000291,CUS007384,2026-03-08,Delivered
ORD0000292,CUS005823,2025-03-21,Delivered
ORD0000293,CUS007386,2025-12-16,Delivered
ORD0000294,CUS009400,2025-12-19,Delivered
ORD0000295,CUS007843,2025-07-20,Delivered
ORD0000296,CUS006866,2026-07-03,Delivered
ORD0000297,CUS008961,2025-09-30,Cancelled
ORD0000298,CUS004477,2025-07-21,Delivered
ORD0000299,CUS001007,2025-11-11,Delivered
ORD0000300,CUS008552,2025-07-07,Processing
ORD0000301,CUS005125,2025-12-09,Delivered
ORD0000302,CUS007483,2025-03-28,Delivered
ORD0000303,CUS005142,2026-04-09,Delivered
ORD0000304,CUS004047,2026-03-24,Delivered
ORD0000305,CUS000017,2025-11-17,Delivered
ORD0000306,CUS008316,2025-07-19,Shipped
ORD0000307,CUS008517,2025-03-12,Delivered
ORD0000308,CUS000157,2025-07-26,Delivered
ORD0000309,CUS003341,2026-04-24,Cancelled
ORD0000310,CUS006436,2026-07-21,Shipped
ORD0000311,CUS003823,2025-12-03,Processing
ORD0000312,CUS002008,2026-04-01,Delivered
ORD0000313,CUS009748,2025-05-16,Cancelled
ORD0000314,CUS009982,2026-08-23,Delivered
ORD0000315,CUS002186,2026-04-16,Delivered
ORD0000316,CUS007292,2025-09-26,Delivered
ORD0000317,CUS003590,2026-02-22,Delivered
ORD0000318,CUS008101,2025-11-14,Shipped
ORD0000319,CUS006252,2026-05-01,Delivered
ORD0000320,CUS001669,2025-02-14,Delivered
ORD0000321,CUS008737,2025-01-23,Shipped
ORD0000322,CUS005957,2026-03-15,Delivered
ORD0000323,CUS002021,2025-07-22,Delivered
ORD0000324,CUS001741,2025-11-18,Shipped
ORD0000325,CUS006399,2026-07-13,Processing
ORD0000326,CUS007471,2025-12-10,Delivered
ORD0000327,CUS006594,2025-04-30,Delivered
ORD0000328,CUS006934,2026-06-27,Delivered
ORD0000329,CUS006840,2026-03-23,Delivered
ORD0000330,CUS000533,2026-01-10,Delivered
ORD0000331,CUS009491,2025-10-18,Delivered
ORD0000332,CUS003523,2025-03-27,Delivered
ORD0000333,CUS007394,2026-03-30,Delivered
ORD0000334,CUS005950,2025-07-18,Delivered
ORD0000335,CUS001208,2026-03-01,Delivered
ORD0000336,CUS002651,2025-06-13,Shipped
ORD0000337,CUS007304,2025-11-03,Delivered
ORD0000338,CUS004929,2026-03-19,Delivered
ORD0000339,CUS007770,2025-03-18,Delivered
ORD0000340,CUS004064,2025-05-20,Delivered
ORD0000341,CUS001361,2025-03-08,Delivered
ORD0000342,CUS006202,2025-09-11,Delivered
ORD0000343,CUS009682,2026-06-23,Processing
ORD0000344,CUS008220,2025-02-18,Delivered
ORD0000345,CUS007095,2025-06-13,Delivered
ORD0000346,CUS002928,2026-05-13,Shipped
ORD0000347,CUS001381,2025-01-17,Delivered
ORD0000348,CUS005996,2025-03-20,Delivered
ORD0000349,CUS003728,2025-01-29,Shipped
ORD0000350,CUS008510,2025-07-13,Delivered
ORD0000351,CUS004719,2025-10-22,Shipped
ORD0000352,CUS003369,2025-05-25,Delivered
ORD0000353,CUS004574,2026-03-13,Delivered
ORD0000354,CUS002773,2025-10-31,Delivered
ORD0000355,CUS001874,2025-10-24,Delivered
ORD0000356,CUS005990,2026-08-10,Processing
ORD0000357,CUS007130,2025-10-05,Delivered
ORD0000358,CUS002578,2026-07-08,Delivered
ORD0000359,CUS000696,2026-04-13,Delivered
ORD0000360,CUS002852,2025-09-24,Delivered
ORD0000361,CUS008191,2026-07-11,Delivered
ORD0000362,CUS006312,2025-04-24,Delivered
ORD0000363,CUS004697,2026-08-23,Delivered
ORD0000364,CUS009192,2025-10-06,Delivered
ORD0000365,CUS003493,2025-07-12,Delivered
ORD0000366,CUS000658,2025-06-27,Delivered
ORD0000367,CUS009584,2025-01-12,Delivered
ORD0000368,CUS004443,2026-01-16,Cancelled
ORD0000369,CUS002708,2026-04-26,Processing
ORD0000370,CUS003801,2025-02-20,Delivered
ORD0000371,CUS000699,2025-04-01,Delivered
ORD0000372,CUS009186,2026-07-04,Delivered
ORD0000373,CUS004018,2025-07-05,Delivered
ORD0000374,CUS006419,2026-05-01,Delivered
ORD0000375,CUS003245,2026-05-09,Cancelled
ORD0000376,CUS009304,2025-05-11,Processing
ORD0000377,CUS009463,2026-08-04,Delivered
ORD0000378,CUS005580,2025-04-14,Delivered
ORD0000379,CUS008227,2026-08-11,Delivered
ORD0000380,CUS001919,2026-06-27,Delivered
ORD0000381,CUS005077,2026-08-21,Shipped
ORD0000382,CUS006840,2026-06-10,Delivered
ORD0000383,CUS001889,2025-10-30,Delivered
ORD0000384,CUS008551,2025-03-10,Processing
ORD0000385,CUS004418,2025-01-05,Shipped
ORD0000386,CUS000295,2026-02-15,Delivered
ORD0000387,CUS006923,2026-03-09,Delivered
ORD0000388,CUS004347,2025-08-08,Delivered
ORD0000389,CUS001196,2026-05-18,Delivered
ORD0000390,CUS006494,2025-01-31,Shipped
ORD0000391,CUS000074,2025-09-09,Delivered
ORD0000392,CUS009209,2026-03-26,Delivered
ORD0000393,CUS002093,2026-01-17,Delivered
ORD0000394,CUS006548,2025-05-21,Delivered
ORD0000395,CUS005631,2025-09-12,Delivered
ORD0000396,CUS008313,2025-10-16,Delivered
ORD0000397,CUS000333,2025-12-01,Cancelled
ORD0000398,CUS002794,2025-04-25,Delivered
ORD0000399,CUS000129,2025-11-13,Delivered
ORD0000400,CUS005934,2025-03-15,Delivered
ORD0000401,CUS003902,2025-01-26,Delivered
ORD0000402,CUS001887,2025-11-30,Delivered
ORD0000403,CUS007730,2025-10-23,Delivered
ORD0000404,CUS005911,2026-05-13,Delivered
ORD0000405,CUS008534,2025-09-03,Delivered
ORD0000406,CUS002215,2026-05-22,Delivered
ORD0000407,CUS009605,2026-07-06,Delivered
ORD0000408,CUS002525,2025-06-22,Delivered
ORD0000409,CUS002028,2025-09-04,Delivered
ORD0000410,CUS008034,2025-03-24,Delivered
ORD0000411,CUS000742,2025-10-12,Processing
ORD0000412,CUS004130,2025-02-26,Shipped
ORD0000413,CUS006336,2025-08-17,Shipped
ORD0000414,CUS004137,2025-06-18,Delivered
ORD0000415,CUS003665,2025-08-06,Delivered
ORD0000416,CUS003490,2026-05-14,Delivered
ORD0000417,CUS002271,2025-11-24,Delivered
ORD0000418,CUS002385,2025-10-13,Delivered
ORD0000419,CUS002822,2025-10-20,Shipped
ORD0000420,CUS006944,2025-05-22,Delivered
ORD0000421,CUS002446,2025-10-21,Processing
ORD0000422,CUS004014,2026-05-29,Processing
ORD0000423,CUS003868,2025-08-13,Delivered
ORD0000424,CUS000721,2025-06-12,Delivered
ORD0000425,CUS002457,2025-08-11,Delivered
ORD0000426,CUS001644,2026-04-02,Delivered
ORD0000427,CUS005799,2026-05-26,Delivered
ORD0000428,CUS004459,2026-06-25,Delivered
ORD0000429,CUS003588,2025-03-15,Shipped
ORD0000430,CUS008311,2025-01-26,Delivered
ORD0000431,CUS008447,2025-03-27,Shipped
ORD0000432,CUS009410,2025-03-27,Shipped
ORD0000433,CUS002331,2025-05-27,Delivered
ORD0000434,CUS002795,2025-10-14,Delivered
ORD0000435,CUS005837,2026-03-24,Cancelled
ORD0000436,CUS002251,2026-05-20,Delivered
ORD0000437,CUS003734,2026-06-10,Delivered
ORD0000438,CUS003611,2025-06-02,Delivered
ORD0000439,CUS004289,2026-08-26,Delivered
ORD0000440,CUS000436,2026-07-15,Delivered
ORD0000441,CUS006677,2025-06-30,Delivered
ORD0000442,CUS006026,2026-03-30,Delivered
ORD0000443,CUS005727,2025-03-26,Delivered
ORD0000444,CUS009734,2025-12-18,Delivered
ORD0000445,CUS005013,2025-11-16,Delivered
ORD0000446,CUS009838,2025-05-25,Shipped
ORD0000447,CUS008016,2026-04-20,Processing
ORD0000448,CUS003083,2025-05-31,Delivered
ORD0000449,CUS003346,2025-06-17,Shipped
ORD0000450,CUS003323,2025-09-17,Delivered
ORD0000451,CUS006094,2026-05-12,Delivered
ORD0000452,CUS003587,2026-04-04,Delivered
ORD0000453,CUS001514,2026-05-20,Delivered
ORD0000454,CUS003210,2025-08-26,Cancelled
ORD0000455,CUS006380,2025-03-20,Delivered
ORD0000456,CUS002378,2025-12-04,Delivered
ORD0000457,CUS006247,2026-03-07,Delivered
ORD0000458,CUS005768,2026-01-23,Delivered
ORD0000459,CUS007827,2026-03-30,Delivered
ORD0000460,CUS007846,2025-04-20,Shipped
ORD0000461,CUS001423,2025-04-06,Delivered
ORD0000462,CUS003769,2026-07-07,Delivered
ORD0000463,CUS006480,2025-08-20,Delivered
ORD0000464,CUS006094,2025-06-20,Shipped
ORD0000465,CUS003373,2025-12-11,Delivered
ORD0000466,CUS004999,2025-12-10,Shipped
ORD0000467,CUS000902,2025-04-26,Shipped
ORD0000468,CUS001363,2025-09-06,Shipped
ORD0000469,CUS007228,2025-03-21,Processing
ORD0000470,CUS002276,2025-07-17,Shipped
ORD0000471,CUS002099,2025-01-25,Processing
ORD0000472,CUS007457,2025-05-16,Delivered
ORD0000473,CUS008849,2025-08-22,Cancelled
ORD0000474,CUS007047,2025-06-29,Processing
ORD0000475,CUS006502,2025-02-10,Cancelled
ORD0000476,CUS009115,2026-07-06,Delivered
ORD0000477,CUS000013,2026-02-28,Delivered
ORD0000478,CUS006770,2026-05-08,Delivered
ORD0000479,CUS008846,2025-10-18,Delivered
ORD0000480,CUS009748,2026-02-22,Shipped
ORD0000481,CUS005125,2026-06-06,Processing
ORD0000482,CUS001616,2026-03-16,Delivered
ORD0000483,CUS009328,2026-08-13,Delivered
ORD0000484,CUS001326,2025-12-06,Delivered
ORD0000485,CUS002109,2025-03-30,Cancelled
ORD0000486,CUS003402,2026-06-23,Delivered
ORD0000487,CUS005241,2026-06-23,Processing
ORD0000488,CUS004012,2025-01-15,Shipped
ORD0000489,CUS006048,2025-05-30,Processing
ORD0000490,CUS006367,2025-07-14,Delivered
ORD0000491,CUS006494,2025-10-24,Shipped
ORD0000492,CUS002057,2025-07-15,Processing
ORD0000493,CUS001340,2025-02-26,Delivered
ORD0000494,CUS000215,2025-09-06,Shipped
ORD0000495,CUS003231,2026-02-10,Shipped
ORD0000496,CUS009840,2025-07-26,Delivered
ORD0000497,CUS009980,2026-02-06,Processing
ORD0000498,CUS009144,2025-03-14,Shipped
ORD0000499,CUS001817,2026-01-22,Delivered
ORD0000500,CUS006314,2025-03-17,Delivered
ORD0000501,CUS004131,2025-10-28,Shipped
ORD0000502,CUS009914,2026-02-27,Shipped
ORD0000503,CUS006806,2025-05-31,Delivered
ORD0000504,CUS009748,2026-01-19,Processing
ORD0000505,CUS007087,2026-04-29,Delivered
ORD0000506,CUS008636,2026-08-22,Delivered
ORD0000507,CUS007461,2025-01-16,Delivered
ORD0000508,CUS002626,2025-01-04,Delivered
ORD0000509,CUS000211,2026-03-03,Delivered
ORD0000510,CUS008706,2026-06-25,Delivered
ORD0000511,CUS003110,2025-11-10,Processing
ORD0000512,CUS004381,2026-07-31,Delivered
ORD0000513,CUS000352,2026-04-16,Delivered
ORD0000514,CUS008483,2026-01-09,Delivered
ORD0000515,CUS009838,2026-06-26,Delivered
ORD0000516,CUS002638,2025-08-15,Delivered
ORD0000517,CUS004463,2025-01-09,Delivered
ORD0000518,CUS002373,2025-06-15,Delivered
ORD0000519,CUS002041,2025-09-01,Shipped
ORD0000520,CUS001400,2026-03-18,Delivered
ORD0000521,CUS008062,2025-01-22,Delivered
ORD0000522,CUS009154,2025-06-01,Shipped
ORD0000523,CUS002809,2025-07-31,Shipped
ORD0000524,CUS001549,2025-03-12,Delivered
ORD0000525,CUS005930,2025-02-10,Delivered
ORD0000526,CUS006799,2025-04-12,Delivered
ORD0000527,CUS009823,2025-02-18,Processing
ORD0000528,CUS004956,2026-05-17,Shipped
ORD0000529,CUS000429,2026-07-31,Delivered
ORD0000530,CUS002531,2025-10-16,Processing
ORD0000531,CUS007502,2025-02-04,Delivered
ORD0000532,CUS006992,2026-02-20,Shipped
ORD0000533,CUS000544,2025-09-04,Delivered
ORD0000534,CUS005079,2025-02-21,Delivered
ORD0000535,CUS009779,2025-12-09,Delivered
ORD0000536,CUS003518,2025-10-13,Delivered
ORD0000537,CUS003906,2026-01-28,Delivered
ORD0000538,CUS004236,2025-06-18,Delivered
ORD0000539,CUS002927,2026-05-09,Shipped
ORD0000540,CUS006194,2025-12-21,Delivered
ORD0000541,CUS002088,2025-06-06,Delivered
ORD0000542,CUS006103,2026-04-15,Processing
ORD0000543,CUS004477,2025-02-10,Delivered
ORD0000544,CUS004252,2025-11-13,Shipped
ORD0000545,CUS008120,2026-06-11,Delivered
ORD0000546,CUS003509,2025-10-21,Shipped
ORD0000547,CUS001205,2026-03-02,Delivered
ORD0000548,CUS008397,2026-02-12,Delivered
ORD0000549,CUS006283,2026-05-01,Processing
ORD0000550,CUS007945,2025-08-17,Shipped
ORD0000551,CUS002491,2025-07-24,Delivered
ORD0000552,CUS008934,2025-11-20,Delivered
ORD0000553,CUS006601,2025-09-25,Delivered
ORD0000554,CUS007274,2025-08-02,Delivered
ORD0000555,CUS003469,2025-02-03,Delivered
ORD0000556,CUS008934,2026-06-10,Delivered
ORD0000557,CUS009323,2025-04-15,Delivered
ORD0000558,CUS009097,2025-11-26,Shipped
ORD0000559,CUS003419,2026-06-17,Delivered
ORD0000560,CUS005517,2025-08-26,Delivered
