inventory_id,warehouse_id,product_id,quantity,reserved_quantity,last_updated
INV0000062,WH001,PRD00790,579,22,2026-07-02
INV0000063,WH001,PRD00668,18,42,2026-07-11
INV0000064,WH001,PRD00013,62,41,2026-07-17
INV0000065,WH001,PRD00885,1095,37,2026-07-20
INV0000066,WH001,PRD00978,359,18,2026-07-06
INV0000067,WH001,PRD00622,142,51,2026-07-26
INV0000068,WH001,PRD00007,536,52,2026-07-22
INV0000069,WH001,PRD00075,189,68,2026-07-09
INV0000070,WH001,PRD00794,828,40,2026-07-08
INV0000071,WH001,PRD00008,232,44,2026-07-25
INV0000072,WH001,PRD00987,175,16,2026-07-30
INV0000073,WH001,PRD00764,600,9,2026-07-11
INV0000074,WH001,PRD00602,478,66,2026-07-28
INV0000075,WH001,PRD00707,1027,61,2026-07-13
INV0000076,WH001,PRD00382,96,68,2026-07-09
INV0000077,WH001,PRD00643,880,65,2026-07-19
INV0000078,WH001,PRD00321,644,13,2026-07-03
INV0000079,WH001,PRD00977,519,55,2026-07-06
INV0000080,WH001,PRD00680,839,6,2026-07-07
INV0000081,WH001,PRD00250,209,63,2026-08-01
INV0000082,WH001,PRD00884,716,72,2026-07-25
INV0000083,WH001,PRD00291,849,59,2026-07-31
INV0000084,WH001,PRD00886,219,42,2026-07-21
INV0000085,WH001,PRD00784,337,23,2026-07-20
INV0000086,WH001,PRD00159,631,9,2026-07-09
INV0000087,WH001,PRD00548,273,33,2026-07-20
INV0000088,WH001,PRD00189,766,42,2026-07-28
INV0000089,WH001,PRD00674,739,62,2026-07-15
INV0000090,WH001,PRD00920,926,25,2026-07-03
INV0000091,WH001,PRD00893,649,14,2026-07-20
INV0000092,WH001,PRD00169,1112,30,2026-07-28
INV0000093,WH001,PRD00108,11,23,2026-07-27
INV0000094,WH001,PRD00721,948,15,2026-07-30
INV0000095,WH001,PRD00876,438,10,2026-07-16
INV0000096,WH001,PRD00033,102,7,2026-07-28
INV0000097,WH001,PRD00095,168,35,2026-07-13
INV0000098,WH001,PRD00552,1062,6,2026-07-31
INV0000099,WH001,PRD00310,1092,32,2026-07-18
INV0000100,WH001,PRD00813,645,42,2026-07-21
INV0000101,WH001,PRD00469,914,62,2026-07-25
INV0000102,WH001,PRD00485,594,27,2026-07-28
INV0000103,WH001,PRD00037,1147,23,2026-07-25
INV0000104,WH001,PRD00867,139,24,2026-07-28
INV0000105,WH001,PRD00464,135,70,2026-07-07
INV0000106,WH001,PRD00869,493,53,2026-07-20
INV0000107,WH001,PRD00488,1188,33,2026-07-13
INV0000108,WH001,PRD00661,1059,31,2026-07-21
INV0000109,WH001,PRD00425,1050,1,2026-07-16
INV0000110,WH001,PRD00140,556,49,2026-07-13
INV0000111,WH001,PRD00644,1056,63,2026-07-26
INV0000112,WH001,PRD00022,283,73,2026-07-07
INV0000113,WH001,PRD00190,928,40,2026-07-16
INV0000114,WH001,PRD00892,558,42,2026-07-19
INV0000115,WH001,PRD00729,290,60,2026-07-29
INV0000116,WH001,PRD00965,388,59,2026-07-31
INV0000117,WH001,PRD00064,294,33,2026-07-03
INV0000118,WH001,PRD00483,612,50,2026-07-05
INV0000119,WH001,PRD00815,1075,35,2026-07-21
INV0000120,WH001,PRD00692,1154,69,2026-07-13
INV0000121,WH001,PRD00450,59,77,2026-07-31
INV0000122,WH001,PRD00209,777,51,2026-07-03
INV0000123,WH001,PRD00667,57,73,2026-07-23
INV0000124,WH001,PRD00472,957,67,2026-07-26
INV0000125,WH001,PRD00121,111,53,2026-07-28
INV0000126,WH001,PRD00860,871,37,2026-07-20
INV0000127,WH001,PRD00171,679,64,2026-07-04
INV0000128,WH001,PRD00031,1089,72,2026-07-14
INV0000129,WH001,PRD00055,1133,63,2026-07-27
INV0000130,WH001,PRD00208,548,34,2026-07-08
INV0000131,WH001,PRD00559,615,49,2026-07-03
INV0000132,WH001,PRD00803,496,10,2026-07-28
INV0000133,WH001,PRD00840,1085,35,2026-07-07
INV0000134,WH001,PRD00104,286,5,2026-07-14
INV0000135,WH001,PRD00954,353,58,2026-07-23
INV0000136,WH001,PRD00699,1199,31,2026-07-11
INV0000137,WH001,PRD00690,1161,5,2026-07-14
INV0000138,WH001,PRD00540,1056,11,2026-07-11
INV0000139,WH001,PRD00418,163,18,2026-07-28
INV0000140,WH001,PRD00728,77,23,2026-07-02
INV0000141,WH001,PRD00712,151,43,2026-07-12
INV0000142,WH001,PRD00993,197,17,2026-07-12
INV0000143,WH001,PRD00405,1039,45,2026-07-30
INV0000144,WH001,PRD00859,430,49,2026-07-16
INV0000145,WH001,PRD00091,571,4,2026-07-22
INV0000146,WH001,PRD00006,595,13,2026-07-10
INV0000147,WH001,PRD00611,794,42,2026-07-27
INV0000148,WH001,PRD00740,470,62,2026-08-01
INV0000149,WH001,PRD00546,2,68,2026-07-05
INV0000150,WH001,PRD00964,925,63,2026-07-17
INV0000151,WH001,PRD00614,761,9,2026-07-13
INV0000152,WH001,PRD00284,110,5,2026-07-26
INV0000153,WH001,PRD00974,360,20,2026-07-02
INV0000154,WH001,PRD00586,882,3,2026-07-17
INV0000155,WH001,PRD00114,495,36,2026-07-08
INV0000156,WH001,PRD00590,950,65,2026-07-09
INV0000157,WH001,PRD00232,587,30,2026-07-27
INV0000158,WH001,PRD00299,872,59,2026-07-02
INV0000159,WH001,PRD00912,525,68,2026-07-23
INV0000160,WH001,PRD00462,864,34,2026-07-12
INV0000161,WH001,PRD00606,448,9,2026-07-08
INV0000162,WH001,PRD00969,126,26,2026-07-28
INV0000163,WH001,PRD00685,447,29,2026-07-15
INV0000164,WH001,PRD00709,724,32,2026-07-25
INV0000165,WH001,PRD00098,914,55,2026-07-02
INV0000166,WH001,PRD00824,985,30,2026-07-31
INV0000167,WH001,PRD00307,728,70,2026-07-22
INV0000168,WH001,PRD00822,1101,22,2026-07-30
INV0000169,WH001,PRD00955,865,35,2026-07-08
INV0000170,WH001,PRD00241,698,77,2026-07-02
INV0000171,WH001,PRD00044,859,69,2026-07-28
INV0000172,WH001,PRD00215,283,34,2026-07-26
INV0000173,WH001,PRD00152,190,17,2026-07-11
INV0000174,WH001,PRD00868,163,19,2026-07-21
INV0000175,WH001,PRD00003,748,64,2026-07-16
INV0000176,WH001,PRD00960,1064,25,2026-07-09
INV0000177,WH001,PRD00259,344,26,2026-08-01
INV0000178,WH001,PRD00659,977,69,2026-07-29
INV0000179,WH001,PRD00689,547,14,2026-07-28
INV0000180,WH001,PRD00117,675,59,2026-08-01
INV0000181,WH001,PRD00509,844,57,2026-07-04
INV0000182,WH001,PRD00268,119,58,2026-07-17
INV0000183,WH001,PRD00737,381,38,2026-07-24
INV0000184,WH001,PRD00116,703,38,2026-07-09
INV0000185,WH001,PRD00898,960,41,2026-07-12
INV0000186,WH001,PRD00479,897,8,2026-07-29
INV0000187,WH001,PRD00207,472,14,2026-07-21
INV0000188,WH001,PRD00917,850,67,2026-07-06
INV0000189,WH001,PRD00103,996,26,2026-07-29
INV0000190,WH001,PRD00970,84,16,2026-07-23
INV0000191,WH001,PRD00641,322,49,2026-07-07
INV0000192,WH001,PRD00651,605,40,2026-07-13
INV0000193,WH001,PRD00163,879,29,2026-07-14
INV0000194,WH001,PRD00363,572,54,2026-07-16
INV0000195,WH001,PRD00916,587,47,2026-07-16
INV0000196,WH001,PRD00141,437,12,2026-07-07
INV0000197,WH001,PRD00578,25,73,2026-08-01
INV0000198,WH001,PRD00771,393,44,2026-07-15
INV0000199,WH001,PRD00127,706,64,2026-07-10
INV0000200,WH001,PRD00750,975,17,2026-07-20
INV0000201,WH001,PRD00303,389,23,2026-07-10
INV0000202,WH001,PRD00058,969,44,2026-07-31
INV0000203,WH001,PRD00691,383,62,2026-07-12
INV0000204,WH001,PRD00073,145,77,2026-07-28
INV0000205,WH001,PRD00263,796,39,2026-07-27
INV0000206,WH001,PRD00184,226,0,2026-07-27
INV0000207,WH001,PRD00703,481,70,2026-07-08
INV0000208,WH001,PRD00236,898,20,2026-07-03
INV0000209,WH001,PRD00839,1057,70,2026-08-01
INV0000210,WH001,PRD00455,1000,31,2026-07-19
INV0000211,WH001,PRD00111,848,39,2026-07-14
INV0000212,WH001,PRD00156,1010,5,2026-07-20
INV0000213,WH001,PRD00492,640,74,2026-07-10
INV0000214,WH001,PRD00836,5,80,2026-07-29
INV0000215,WH001,PRD00357,1153,51,2026-07-11
INV0000216,WH001,PRD00275,547,28,2026-07-09
INV0000217,WH001,PRD00524,490,44,2026-07-19
INV0000218,WH001,PRD00300,293,24,2026-07-14
INV0000219,WH001,PRD00473,682,3,2026-07-27
INV0000220,WH001,PRD00527,149,9,2026-07-05
INV0000221,WH001,PRD00271,247,65,2026-07-17
INV0000222,WH001,PRD00352,10,5,2026-07-02
INV0000223,WH001,PRD00025,8,5,2026-07-15
INV0000224,WH001,PRD00715,286,22,2026-07-28
INV0000225,WH001,PRD00351,112,45,2026-07-25
INV0000226,WH001,PRD00628,268,21,2026-07-31
INV0000227,WH001,PRD00897,1109,75,2026-07-25
INV0000228,WH001,PRD00681,1179,45,2026-07-20
INV0000229,WH001,PRD00950,100,67,2026-07-14
INV0000230,WH001,PRD00069,1082,3,2026-07-23
INV0000231,WH001,PRD00084,869,49,2026-07-30
INV0000232,WH001,PRD00247,915,14,2026-07-06
INV0000233,WH001,PRD00129,31,11,2026-07-23
INV0000234,WH001,PRD00347,962,68,2026-07-27
INV0000235,WH001,PRD00210,539,59,2026-07-06
INV0000236,WH001,PRD00783,721,72,2026-07-13
INV0000237,WH001,PRD00713,204,15,2026-07-04
INV0000238,WH001,PRD00438,997,24,2026-07-14
INV0000239,WH001,PRD00933,90,50,2026-07-19
INV0000240,WH001,PRD00282,663,7,2026-07-09
INV0000241,WH001,PRD00329,825,65,2026-07-16
INV0000242,WH001,PRD00136,1029,46,2026-07-18
INV0000243,WH001,PRD00903,879,4,2026-07-27
INV0000244,WH001,PRD00948,952,25,2026-07-29
INV0000245,WH001,PRD00445,869,2,2026-07-25
INV0000246,WH001,PRD00918,713,6,2026-07-28
INV0000247,WH001,PRD00056,625,43,2026-08-01
INV0000248,WH001,PRD00415,806,25,2026-07-28
INV0000249,WH001,PRD00192,948,7,2026-07-03
INV0000250,WH001,PRD00553,715,19,2026-07-05
INV0000251,WH001,PRD00298,563,11,2026-07-11
INV0000252,WH001,PRD00996,875,77,2026-07-06
INV0000253,WH001,PRD00456,526,40,2026-07-19
INV0000254,WH001,PRD00024,613,48,2026-07-15
INV0000255,WH001,PRD00564,851,48,2026-07-18
INV0000256,WH001,PRD00941,812,32,2026-07-19
INV0000257,WH001,PRD00219,245,35,2026-07-27
INV0000258,WH001,PRD00662,1034,39,2026-08-01
INV0000259,WH001,PRD00755,35,0,2026-07-03
INV0000260,WH001,PRD00927,27,14,2026-07-26
INV0000261,WH001,PRD00899,908,33,2026-07-26
INV0000262,WH001,PRD00420,916,65,2026-07-24
INV0000263,WH001,PRD00074,1001,12,2026-08-01
INV0000264,WH001,PRD00696,972,30,2026-07-16
INV0000265,WH001,PRD00818,365,24,2026-07-02
INV0000266,WH001,PRD00482,369,18,2026-07-22
INV0000267,WH001,PRD00833,1110,28,2026-07-25
INV0000268,WH001,PRD00200,984,54,2026-07-08
INV0000269,WH001,PRD00600,336,18,2026-07-05
INV0000270,WH001,PRD00770,428,30,2026-07-24
INV0000271,WH001,PRD00565,674,5,2026-07-29
INV0000272,WH001,PRD00734,701,35,2026-07-29
INV0000273,WH001,PRD01000,964,63,2026-07-20
INV0000274,WH001,PRD00149,755,59,2026-07-15
INV0000275,WH001,PRD00521,863,55,2026-07-30
INV0000276,WH001,PRD00841,86,6,2026-07-31
INV0000277,WH001,PRD00878,38,44,2026-07-13
INV0000278,WH001,PRD00772,176,15,2026-07-16
INV0000279,WH001,PRD00906,780,20,2026-07-12
INV0000280,WH001,PRD00435,549,63,2026-07-13
INV0000281,WH001,PRD00848,488,79,2026-07-26
INV0000282,WH001,PRD00792,422,38,2026-07-16
INV0000283,WH001,PRD00437,1183,10,2026-07-23
INV0000284,WH001,PRD00881,114,16,2026-07-20
INV0000285,WH001,PRD00441,796,28,2026-07-30
INV0000286,WH001,PRD00966,655,44,2026-07-12
INV0000287,WH001,PRD00331,718,67,2026-07-31
INV0000288,WH001,PRD00550,38,64,2026-07-17
INV0000289,WH001,PRD00962,758,63,2026-07-08
INV0000290,WH001,PRD00549,693,58,2026-07-22
INV0000291,WH001,PRD00989,201,27,2026-07-29
INV0000292,WH001,PRD00341,1042,28,2026-07-09
INV0000293,WH001,PRD00344,1129,17,2026-07-02
INV0000294,WH001,PRD00081,394,62,2026-07-31
INV0000295,WH001,PRD00191,1100,35,2026-07-24
INV0000296,WH001,PRD00594,524,49,2026-07-15
INV0000297,WH001,PRD00932,654,2,2026-07-29
INV0000298,WH001,PRD00945,405,80,2026-07-15
INV0000299,WH001,PRD00562,179,31,2026-07-16
INV0000300,WH001,PRD00265,751,38,2026-07-05
INV0000301,WH001,PRD00220,223,70,2026-07-02
INV0000302,WH001,PRD00461,632,22,2026-07-13
INV0000303,WH001,PRD00837,462,20,2026-07-02
INV0000304,WH001,PRD00384,825,35,2026-07-22
INV0000305,WH001,PRD00040,928,5,2026-07-30
INV0000306,WH001,PRD00102,962,57,2026-07-25
INV0000307,WH001,PRD00179,468,62,2026-07-11
INV0000308,WH001,PRD00153,77,8,2026-07-31
INV0000309,WH001,PRD00530,864,46,2026-07-26
INV0000310,WH001,PRD00627,822,5,2026-07-21
INV0000311,WH001,PRD00985,603,72,2026-07-17
INV0000312,WH001,PRD00411,169,23,2026-07-17
INV0000313,WH001,PRD00333,1182,29,2026-07-30
INV0000314,WH001,PRD00864,77,68,2026-07-28
INV0000315,WH001,PRD00652,794,21,2026-07-12
INV0000316,WH001,PRD00522,984,59,2026-07-22
INV0000317,WH001,PRD00596,856,76,2026-07-13
INV0000318,WH001,PRD00724,0,55,2026-07-10
INV0000319,WH001,PRD00319,45,38,2026-07-29
INV0000320,WH001,PRD00686,1035,55,2026-07-13
INV0000321,WH001,PRD00194,795,1,2026-07-13
INV0000322,WH001,PRD00325,736,49,2026-07-20
INV0000323,WH001,PRD00979,205,10,2026-07-06
INV0000324,WH001,PRD00457,1138,23,2026-07-15
INV0000325,WH001,PRD00428,1182,16,2026-07-05
INV0000326,WH001,PRD00574,178,2,2026-07-17
INV0000327,WH001,PRD00477,641,64,2026-07-19
INV0000328,WH001,PRD00497,623,28,2026-07-21
INV0000329,WH001,PRD00050,1151,30,2026-08-01
INV0000330,WH001,PRD00002,1198,63,2026-07-22
INV0000331,WH001,PRD00863,457,25,2026-07-10
INV0000332,WH001,PRD00531,772,25,2026-07-29
INV0000333,WH001,PRD00843,536,74,2026-07-05
INV0000334,WH001,PRD00990,275,64,2026-07-12
INV0000335,WH001,PRD00706,835,74,2026-07-29
INV0000336,WH001,PRD00277,1056,51,2026-07-29
INV0000337,WH001,PRD00379,972,40,2026-07-12
INV0000338,WH001,PRD00432,808,69,2026-07-19
INV0000339,WH001,PRD00188,446,32,2026-07-04
INV0000340,WH001,PRD00907,649,35,2026-07-07
INV0000341,WH001,PRD00266,782,35,2026-07-11
INV0000342,WH001,PRD00434,347,22,2026-08-01
INV0000343,WH001,PRD00880,852,72,2026-07-04
INV0000344,WH001,PRD00911,1174,19,2026-07-22
INV0000345,WH001,PRD00936,702,67,2026-07-08
INV0000346,WH001,PRD00126,492,6,2026-08-01
INV0000347,WH001,PRD00891,405,44,2026-07-15
INV0000348,WH001,PRD00909,120,70,2026-07-08
INV0000349,WH001,PRD00217,942,47,2026-07-20
INV0000350,WH001,PRD00802,503,32,2026-07-09
INV0000351,WH001,PRD00264,593,78,2026-07-29
INV0000352,WH001,PRD00335,80,64,2026-07-16
INV0000353,WH001,PRD00283,712,29,2026-07-23
INV0000354,WH001,PRD00528,1141,69,2026-07-25
INV0000355,WH001,PRD00809,174,77,2026-07-06
INV0000356,WH001,PRD00580,381,56,2026-07-09
INV0000357,WH001,PRD00381,335,57,2026-07-05
INV0000358,WH001,PRD00019,906,64,2026-07-07
INV0000359,WH001,PRD00371,429,36,2026-07-31
INV0000360,WH001,PRD00080,1017,74,2026-07-06
INV0000361,WH001,PRD00658,384,17,2026-07-02
INV0000362,WH001,PRD00919,1027,10,2026-07-02
INV0000363,WH001,PRD00047,1140,11,2026-07-20
INV0000364,WH001,PRD00423,970,11,2026-07-04
INV0000365,WH001,PRD00133,1005,57,2026-07-11
INV0000366,WH001,PRD00112,192,15,2026-08-01
INV0000367,WH001,PRD00476,462,36,2026-07-31
INV0000368,WH001,PRD00626,357,6,2026-07-02
INV0000369,WH001,PRD00355,1006,28,2026-07-19
INV0000370,WH001,PRD00305,135,63,2026-07-23
INV0000371,WH001,PRD00688,654,58,2026-07-08
INV0000372,WH001,PRD00212,535,13,2026-07-17
INV0000373,WH001,PRD00901,135,64,2026-07-24
INV0000374,WH001,PRD00801,1082,0,2026-08-01
INV0000375,WH001,PRD00164,127,3,2026-07-08
INV0000376,WH001,PRD00246,31,11,2026-07-25
INV0000377,WH001,PRD00012,489,7,2026-07-06
INV0000378,WH001,PRD00846,345,15,2026-07-24
INV0000379,WH001,PRD00101,1121,75,2026-08-01
INV0000380,WH001,PRD00135,522,1,2026-07-30
INV0000381,WH001,PRD00791,191,31,2026-07-06
INV0000382,WH001,PRD00753,1168,20,2026-07-29
INV0000383,WH001,PRD00828,727,71,2026-07-05
INV0000384,WH001,PRD00230,159,74,2026-07-28
INV0000385,WH001,PRD00054,954,62,2026-07-02
INV0000386,WH001,PRD00235,301,34,2026-07-23
INV0000387,WH001,PRD00805,511,57,2026-07-10
INV0000388,WH001,PRD00981,861,36,2026-07-22
INV0000389,WH001,PRD00670,772,9,2026-07-16
INV0000390,WH001,PRD00124,635,54,2026-07-15
INV0000391,WH001,PRD00440,1174,12,2026-07-21
INV0000392,WH001,PRD00296,1116,25,2026-07-26
INV0000393,WH001,PRD00517,813,42,2026-07-13
INV0000394,WH001,PRD00161,907,39,2026-07-17
INV0000395,WH001,PRD00369,91,80,2026-07-02
INV0000396,WH001,PRD00669,213,37,2026-07-16
INV0000397,WH001,PRD00030,944,15,2026-07-13
INV0000398,WH001,PRD00800,379,77,2026-07-08
INV0000399,WH001,PRD00938,30,65,2026-07-07
INV0000400,WH001,PRD00062,459,28,2026-07-02
INV0000401,WH001,PRD00474,1069,16,2026-07-06
INV0000402,WH001,PRD00665,769,44,2026-07-19
INV0000403,WH001,PRD00926,248,72,2026-07-17
INV0000404,WH001,PRD00018,1095,74,2026-07-20
INV0000405,WH001,PRD00088,1112,9,2026-07-28
INV0000406,WH001,PRD00817,772,51,2026-07-19
INV0000407,WH001,PRD00051,1188,15,2026-07-20
INV0000408,WH001,PRD00393,1175,72,2026-07-05
INV0000409,WH001,PRD00078,323,58,2026-07-05
INV0000410,WH001,PRD00928,927,3,2026-07-11
INV0000411,WH001,PRD00579,1028,54,2026-07-10
INV0000412,WH001,PRD00829,771,45,2026-07-18
INV0000413,WH001,PRD00520,607,68,2026-07-09
INV0000414,WH001,PRD00085,868,47,2026-07-06
INV0000415,WH001,PRD00525,921,56,2026-07-11
INV0000416,WH001,PRD00683,654,76,2026-07-03
INV0000417,WH001,PRD00742,950,62,2026-07-19
INV0000418,WH001,PRD00768,987,27,2026-07-10
INV0000419,WH001,PRD00358,1038,2,2026-07-31
INV0000420,WH001,PRD00889,946,40,2026-07-31
INV0000421,WH001,PRD00639,842,67,2026-07-28
INV0000422,WH001,PRD00890,393,31,2026-07-08
INV0000423,WH001,PRD00087,972,30,2026-07-06
INV0000424,WH001,PRD00460,458,72,2026-07-25
INV0000425,WH001,PRD00322,571,59,2026-07-08
INV0000426,WH001,PRD00065,578,11,2026-07-03
INV0000427,WH001,PRD00567,359,55,2026-07-17
INV0000428,WH001,PRD00243,1151,64,2026-07-20
INV0000429,WH001,PRD00118,691,57,2026-07-31
INV0000430,WH001,PRD00982,914,31,2026-07-12
INV0000431,WH001,PRD00518,1115,47,2026-07-24
INV0000432,WH001,PRD00766,824,0,2026-07-09
INV0000433,WH001,PRD00387,736,19,2026-07-30
INV0000434,WH001,PRD00245,941,26,2026-07-28
INV0000435,WH001,PRD00758,136,31,2026-07-26
INV0000436,WH001,PRD00975,6,42,2026-07-16
INV0000437,WH001,PRD00293,898,71,2026-07-14
INV0000438,WH001,PRD00180,342,80,2026-07-16
INV0000439,WH001,PRD00216,1075,1,2026-07-27
INV0000440,WH001,PRD00160,320,75,2026-07-11
INV0000441,WH001,PRD00853,709,42,2026-07-08
INV0000442,WH001,PRD00306,1023,50,2026-07-13
INV0000443,WH001,PRD00417,446,7,2026-07-16
INV0000444,WH001,PRD00499,1070,68,2026-07-26
INV0000445,WH001,PRD00026,1020,4,2026-07-18
INV0000446,WH001,PRD00998,1192,8,2026-07-06
INV0000447,WH001,PRD00735,20,53,2026-07-28
INV0000448,WH001,PRD00016,385,10,2026-07-21
INV0000449,WH001,PRD00242,577,28,2026-07-08
INV0000450,WH001,PRD00318,627,37,2026-07-13
INV0000451,WH001,PRD00406,161,72,2026-07-06
INV0000452,WH001,PRD00197,1007,39,2026-07-04
INV0000453,WH001,PRD00879,930,0,2026-07-12
INV0000454,WH001,PRD00354,1118,36,2026-07-15
INV0000455,WH001,PRD00738,813,62,2026-07-29
INV0000456,WH001,PRD00745,228,56,2026-07-08
INV0000457,WH001,PRD00010,324,37,2026-07-13
INV0000458,WH001,PRD00761,1082,80,2026-07-22
INV0000459,WH001,PRD00043,1199,48,2026-07-25
INV0000460,WH001,PRD00376,524,25,2026-07-19
INV0000461,WH001,PRD00134,765,6,2026-07-13
INV0000462,WH001,PRD00452,513,13,2026-07-19
INV0000463,WH001,PRD00240,289,80,2026-07-10
INV0000464,WH001,PRD00288,802,58,2026-07-27
INV0000465,WH001,PRD00854,544,1,2026-07-16
INV0000466,WH001,PRD00782,777,20,2026-07-15
INV0000467,WH001,PRD00823,1008,7,2026-07-30
INV0000468,WH001,PRD00642,505,18,2026-07-05
INV0000469,WH001,PRD00862,206,47,2026-07-05
INV0000470,WH001,PRD00968,815,54,2026-07-18
INV0000471,WH001,PRD00494,126,8,2026-07-11
INV0000472,WH001,PRD00107,156,65,2026-07-18
INV0000473,WH001,PRD00233,243,59,2026-07-29
INV0000474,WH001,PRD00021,14,34,2026-07-07
INV0000475,WH001,PRD00072,683,78,2026-07-14
INV0000476,WH001,PRD00251,325,5,2026-07-17
INV0000477,WH001,PRD00756,160,66,2026-07-05
INV0000478,WH001,PRD00935,1127,2,2026-07-28
INV0000479,WH001,PRD00705,353,10,2026-07-25
INV0000480,WH001,PRD00814,214,71,2026-07-14
INV0000481,WH001,PRD00383,814,4,2026-07-22
INV0000482,WH001,PRD00971,71,24,2026-07-03
INV0000483,WH001,PRD00666,639,49,2026-07-29
INV0000484,WH001,PRD00077,184,60,2026-07-25
INV0000485,WH001,PRD00592,604,11,2026-07-02
INV0000486,WH001,PRD00154,988,32,2026-07-03
INV0000487,WH001,PRD00577,180,35,2026-07-19
INV0000488,WH001,PRD00807,707,46,2026-07-23
INV0000489,WH001,PRD00708,671,10,2026-07-07
INV0000490,WH001,PRD00015,375,31,2026-07-05
INV0000491,WH001,PRD00636,422,43,2026-07-21
INV0000492,WH001,PRD00185,153,53,2026-07-07
INV0000493,WH001,PRD00173,617,79,2026-07-30
INV0000494,WH001,PRD00940,714,52,2026-07-20
INV0000495,WH001,PRD00448,396,3,2026-07-10
INV0000496,WH001,PRD00380,402,48,2026-07-26
INV0000497,WH001,PRD00297,476,65,2026-07-19
INV0000498,WH001,PRD00034,630,65,2026-07-20
INV0000499,WH001,PRD00581,681,2,2026-07-31
INV0000500,WH001,PRD00396,914,37,2026-07-24
INV0000501,WH002,PRD00991,666,22,2026-07-04
INV0000502,WH002,PRD00501,649,0,2026-07-30
INV0000503,WH002,PRD00704,1160,11,2026-07-19
INV0000504,WH002,PRD00305,749,29,2026-07-20
INV0000505,WH002,PRD00736,531,59,2026-08-01
INV0000506,WH002,PRD00163,804,55,2026-07-13
INV0000507,WH002,PRD00355,874,80,2026-07-08
INV0000508,WH002,PRD00912,982,62,2026-07-16
INV0000509,WH002,PRD00672,202,26,2026-07-24
INV0000510,WH002,PRD00549,132,39,2026-07-07
INV0000511,WH002,PRD00764,700,19,2026-07-24
INV0000512,WH002,PRD00322,564,70,2026-07-03
