shipment_id,order_id,warehouse_id,shipment_date,delivery_date,carrier,status
SHP0000080,ORD0028291,WH001,2025-08-19,2025-08-22,XpressBees,In Transit
SHP0000081,ORD0029020,WH004,2025-07-28,2025-08-03,DTDC,Delivered
SHP0000082,ORD0010291,WH009,2026-03-16,2026-03-22,Delhivery,Delivered
SHP0000083,ORD0018132,WH010,2026-06-23,2026-07-01,XpressBees,Delivered
SHP0000084,ORD0013331,WH006,2025-03-22,2025-03-27,Ecom Express,Delivered
SHP0000085,ORD0035371,WH008,2025-12-15,2025-12-18,XpressBees,Delivered
SHP0000086,ORD0041032,WH004,2025-03-03,2025-03-06,Ecom Express,Delivered
SHP0000087,ORD0025879,WH005,2025-05-13,2025-05-19,Delhivery,In Transit
SHP0000088,ORD0034645,WH002,2025-05-08,2025-05-15,DTDC,Delivered
SHP0000089,ORD0018785,WH010,2025-03-14,2025-03-17,BlueDart,Delivered
SHP0000090,ORD0041771,WH005,2025-02-20,2025-02-23,DTDC,In Transit
SHP0000091,ORD0032474,WH002,2026-01-17,2026-01-19,Delhivery,Delivered
SHP0000092,ORD0012753,WH001,2025-12-29,2026-01-03,Delhivery,Delivered
SHP0000093,ORD0029502,WH006,2025-10-24,2025-10-29,DTDC,Delivered
SHP0000094,ORD0029391,WH005,2025-12-29,2026-01-03,BlueDart,Delivered
SHP0000095,ORD0040586,WH005,2025-06-24,2025-06-29,Ecom Express,Delivered
SHP0000096,ORD0029658,WH009,2025-04-16,2025-04-20,Ecom Express,Delivered
SHP0000097,ORD0004893,WH006,2026-02-05,2026-02-12,DTDC,Delivered
SHP0000098,ORD0038029,WH010,2025-09-12,2025-09-18,DTDC,Delayed
SHP0000099,ORD0006041,WH002,2026-06-18,2026-06-20,Delhivery,Delivered
SHP0000100,ORD0009623,WH009,2026-02-02,2026-02-03,DTDC,Delivered
SHP0000101,ORD0018625,WH009,2026-01-30,2026-02-02,DTDC,In Transit
SHP0000102,ORD0033562,WH004,2025-07-11,2025-07-17,XpressBees,Delivered
SHP0000103,ORD0018295,WH006,2025-07-29,2025-07-30,Delhivery,Delivered
SHP0000104,ORD0042308,WH001,2026-04-24,2026-04-29,XpressBees,In Transit
SHP0000105,ORD0017958,WH007,2025-08-02,2025-08-04,Ecom Express,In Transit
SHP0000106,ORD0044569,WH007,2025-05-19,2025-05-22,Delhivery,Delivered
SHP0000107,ORD0013607,WH003,2026-04-21,2026-04-23,Ecom Express,Delivered
SHP0000108,ORD0017426,WH010,2025-11-27,2025-12-01,XpressBees,Delivered
SHP0000109,ORD0013986,WH010,2025-08-17,2025-08-18,BlueDart,Delivered
SHP0000110,ORD0035756,WH002,2025-11-29,2025-11-30,Ecom Express,Delivered
SHP0000111,ORD0034292,WH006,2025-03-23,2025-03-27,BlueDart,Delivered
SHP0000112,ORD0003413,WH008,2025-11-03,2025-11-04,BlueDart,Delivered
SHP0000113,ORD0020300,WH010,2025-06-05,2025-06-13,Ecom Express,Delivered
SHP0000114,ORD0012554,WH008,2026-05-02,2026-05-08,Delhivery,Delivered
SHP0000115,ORD0014222,WH006,2025-11-26,2025-12-02,XpressBees,Delivered
SHP0000116,ORD0019323,WH008,2025-04-16,2025-04-21,DTDC,Delivered
SHP0000117,ORD0033508,WH009,2026-06-19,2026-06-26,DTDC,Delivered
SHP0000118,ORD0028269,WH001,2025-09-03,2025-09-07,Delhivery,Delivered
SHP0000119,ORD0046074,WH001,2026-04-09,2026-04-14,XpressBees,In Transit
SHP0000120,ORD0024360,WH009,2025-01-22,2025-01-25,BlueDart,Delivered
SHP0000121,ORD0024272,WH001,2025-09-26,2025-09-30,DTDC,Delivered
SHP0000122,ORD0043266,WH009,2025-01-19,2025-01-24,BlueDart,Delivered
SHP0000123,ORD0010882,WH004,2026-08-20,2026-08-22,Ecom Express,Delivered
SHP0000124,ORD0045631,WH002,2026-06-20,2026-06-26,Delhivery,Delivered
SHP0000125,ORD0040282,WH004,2026-03-09,2026-03-14,Ecom Express,Delivered
SHP0000126,ORD0014558,WH008,2025-09-23,2025-09-27,XpressBees,In Transit
SHP0000127,ORD0016397,WH004,2025-04-29,2025-05-02,BlueDart,Delivered
SHP0000128,ORD0036548,WH010,2026-08-16,2026-08-19,Delhivery,Delivered
SHP0000129,ORD0040817,WH005,2025-08-04,2025-08-08,BlueDart,Delivered
SHP0000130,ORD0007281,WH005,2025-12-12,2025-12-13,Ecom Express,Delivered
SHP0000131,ORD0043805,WH010,2025-08-24,2025-08-25,Delhivery,Delivered
SHP0000132,ORD0042123,WH002,2026-01-15,2026-01-19,Delhivery,Delivered
SHP0000133,ORD0044439,WH003,2026-05-19,2026-05-20,Ecom Express,Delivered
SHP0000134,ORD0045942,WH003,2026-07-23,2026-07-30,DTDC,Delivered
SHP0000135,ORD0048370,WH002,2026-03-03,2026-03-09,Ecom Express,Delivered
SHP0000136,ORD0022705,WH008,2025-11-17,2025-11-22,DTDC,Delivered
SHP0000137,ORD0021139,WH003,2025-11-08,2025-11-11,Delhivery,Delivered
SHP0000138,ORD0032039,WH002,2025-03-06,2025-03-13,DTDC,Delivered
SHP0000139,ORD0029738,WH010,2026-01-04,2026-01-12,BlueDart,Delayed
SHP0000140,ORD0036844,WH002,2025-12-19,2025-12-21,XpressBees,Delivered
SHP0000141,ORD0007466,WH004,2025-06-18,2025-06-24,XpressBees,Delivered
SHP0000142,ORD0029348,WH009,2025-03-31,2025-04-08,Ecom Express,Delivered
SHP0000143,ORD0005194,WH001,2025-02-07,2025-02-08,DTDC,Delayed
SHP0000144,ORD0031919,WH002,2026-05-28,2026-06-03,XpressBees,Delivered
SHP0000145,ORD0030974,WH002,2026-08-02,2026-08-06,Ecom Express,Delivered
SHP0000146,ORD0022013,WH009,2026-07-05,2026-07-11,XpressBees,Delivered
SHP0000147,ORD0044905,WH008,2025-11-04,2025-11-10,XpressBees,In Transit
SHP0000148,ORD0048956,WH006,2025-11-12,2025-11-18,Delhivery,In Transit
SHP0000149,ORD0023214,WH006,2025-04-13,2025-04-15,Delhivery,Delivered
SHP0000150,ORD0032004,WH006,2026-04-23,2026-04-24,Delhivery,In Transit
SHP0000151,ORD0031573,WH004,2025-05-16,2025-05-18,Ecom Express,Delivered
SHP0000152,ORD0009093,WH006,2025-07-28,2025-08-01,BlueDart,In Transit
SHP0000153,ORD0031450,WH004,2025-04-04,2025-04-08,XpressBees,Delivered
SHP0000154,ORD0035256,WH006,2026-06-15,2026-06-22,Ecom Express,In Transit
SHP0000155,ORD0002847,WH006,2026-01-18,2026-01-19,Delhivery,Delivered
SHP0000156,ORD0034253,WH001,2025-10-16,2025-10-19,DTDC,Delivered
SHP0000157,ORD0015678,WH001,2025-10-01,2025-10-02,DTDC,Delivered
SHP0000158,ORD0018118,WH010,2025-03-08,2025-03-10,BlueDart,Delivered
SHP0000159,ORD0007421,WH002,2026-03-04,2026-03-07,Delhivery,In Transit
SHP0000160,ORD0017851,WH007,2026-05-29,2026-06-02,BlueDart,Delivered
SHP0000161,ORD0040272,WH001,2026-06-07,2026-06-08,XpressBees,Delivered
SHP0000162,ORD0043690,WH005,2025-10-21,2025-10-26,Delhivery,In Transit
SHP0000163,ORD0025458,WH001,2026-02-06,2026-02-13,Ecom Express,Delivered
SHP0000164,ORD0039794,WH003,2025-06-23,2025-06-29,DTDC,Delivered
SHP0000165,ORD0016177,WH004,2026-07-07,2026-07-13,XpressBees,Delivered
SHP0000166,ORD0011491,WH009,2025-02-23,2025-02-25,XpressBees,Delivered
SHP0000167,ORD0023496,WH004,2025-11-21,2025-11-28,XpressBees,Delivered
SHP0000168,ORD0029959,WH003,2025-07-05,2025-07-13,Ecom Express,Delivered
SHP0000169,ORD0026887,WH002,2025-09-04,2025-09-12,Ecom Express,Delivered
SHP0000170,ORD0016872,WH010,2026-03-22,2026-03-24,Delhivery,Delivered
SHP0000171,ORD0041454,WH001,2026-03-09,2026-03-10,Delhivery,Delivered
SHP0000172,ORD0015081,WH002,2025-02-08,2025-02-13,DTDC,Delivered
SHP0000173,ORD0019375,WH004,2025-04-10,2025-04-11,Ecom Express,Delivered
SHP0000174,ORD0042990,WH007,2025-04-03,2025-04-08,BlueDart,Delivered
SHP0000175,ORD0010025,WH008,2025-07-01,2025-07-06,DTDC,Delivered
SHP0000176,ORD0040873,WH002,2025-06-22,2025-06-25,BlueDart,In Transit
SHP0000177,ORD0043082,WH005,2026-01-19,2026-01-27,Delhivery,Delivered
SHP0000178,ORD0003779,WH007,2026-08-21,2026-08-27,XpressBees,In Transit
SHP0000179,ORD0038365,WH010,2026-07-20,2026-07-25,BlueDart,In Transit
SHP0000180,ORD0027607,WH002,2025-06-11,2025-06-18,Delhivery,In Transit
SHP0000181,ORD0041896,WH003,2026-05-11,2026-05-13,Delhivery,Delivered
SHP0000182,ORD0039751,WH004,2025-12-14,2025-12-19,Ecom Express,Delivered
SHP0000183,ORD0046272,WH009,2025-07-15,2025-07-18,XpressBees,Delivered
SHP0000184,ORD0035068,WH009,2025-05-14,2025-05-22,BlueDart,Delivered
SHP0000185,ORD0022629,WH009,2026-06-30,2026-07-01,Delhivery,Delivered
SHP0000186,ORD0026424,WH004,2025-04-30,2025-05-04,XpressBees,Delivered
SHP0000187,ORD0001368,WH003,2025-10-27,2025-11-02,BlueDart,Delayed
SHP0000188,ORD0028854,WH002,2025-05-13,2025-05-16,Delhivery,Delivered
SHP0000189,ORD0013333,WH005,2026-03-12,2026-03-15,DTDC,In Transit
SHP0000190,ORD0006213,WH004,2025-09-27,2025-10-02,Delhivery,Delivered
SHP0000191,ORD0047935,WH008,2026-01-31,2026-02-08,XpressBees,Delivered
SHP0000192,ORD0039770,WH006,2025-01-17,2025-01-25,Delhivery,In Transit
SHP0000193,ORD0012640,WH006,2026-08-25,2026-08-29,Ecom Express,Delivered
SHP0000194,ORD0035772,WH006,2026-02-22,2026-02-27,DTDC,In Transit
SHP0000195,ORD0045177,WH009,2026-06-27,2026-07-05,BlueDart,Delivered
SHP0000196,ORD0040019,WH001,2025-12-24,2025-12-25,BlueDart,Delivered
SHP0000197,ORD0000502,WH008,2025-10-18,2025-10-26,Ecom Express,Delivered
SHP0000198,ORD0032431,WH006,2025-08-08,2025-08-14,BlueDart,Delivered
SHP0000199,ORD0012983,WH003,2025-07-02,2025-07-10,Ecom Express,Delivered
SHP0000200,ORD0038836,WH002,2025-05-22,2025-05-23,BlueDart,In Transit
SHP0000201,ORD0017843,WH003,2025-01-24,2025-01-26,Delhivery,Delivered
SHP0000202,ORD0041700,WH006,2026-01-06,2026-01-09,XpressBees,Delivered
SHP0000203,ORD0001728,WH003,2026-04-15,2026-04-17,BlueDart,Delivered
SHP0000204,ORD0003323,WH002,2025-04-18,2025-04-21,Delhivery,Delayed
SHP0000205,ORD0036980,WH001,2026-03-08,2026-03-09,Ecom Express,Delivered
SHP0000206,ORD0049294,WH002,2025-07-16,2025-07-23,XpressBees,In Transit
SHP0000207,ORD0015763,WH008,2025-07-22,2025-07-29,Ecom Express,Delivered
SHP0000208,ORD0010550,WH006,2026-05-01,2026-05-04,Ecom Express,Delivered
SHP0000209,ORD0026942,WH003,2026-05-31,2026-06-02,BlueDart,Delivered
SHP0000210,ORD0030032,WH008,2025-10-07,2025-10-08,XpressBees,Delivered
SHP0000211,ORD0025795,WH004,2025-05-22,2025-05-24,Delhivery,Delivered
SHP0000212,ORD0010006,WH006,2026-07-27,2026-08-04,DTDC,Delivered
SHP0000213,ORD0012144,WH009,2026-02-15,2026-02-16,BlueDart,Delivered
SHP0000214,ORD0041321,WH002,2026-05-26,2026-05-30,DTDC,Delivered
SHP0000215,ORD0032380,WH010,2025-06-08,2025-06-12,Ecom Express,Delivered
SHP0000216,ORD0009748,WH002,2025-04-01,2025-04-05,Ecom Express,Delivered
SHP0000217,ORD0010770,WH003,2025-04-09,2025-04-11,Delhivery,Delivered
SHP0000218,ORD0021509,WH001,2026-07-23,2026-07-24,DTDC,Delayed
SHP0000219,ORD0002146,WH003,2025-11-16,2025-11-17,XpressBees,In Transit
SHP0000220,ORD0042923,WH005,2025-11-24,2025-11-26,Delhivery,Delivered
SHP0000221,ORD0048133,WH001,2026-08-02,2026-08-10,BlueDart,In Transit
SHP0000222,ORD0031766,WH010,2026-04-12,2026-04-13,Ecom Express,Delivered
SHP0000223,ORD0016642,WH003,2026-07-29,2026-08-02,Ecom Express,Delivered
SHP0000224,ORD0024065,WH007,2025-06-20,2025-06-28,Ecom Express,Delivered
SHP0000225,ORD0013064,WH003,2025-02-07,2025-02-11,Delhivery,Delivered
SHP0000226,ORD0028744,WH008,2025-10-25,2025-11-02,XpressBees,Delivered
SHP0000227,ORD0034596,WH004,2026-07-20,2026-07-23,DTDC,Delivered
SHP0000228,ORD0000215,WH010,2025-05-14,2025-05-17,Ecom Express,In Transit
SHP0000229,ORD0025045,WH007,2026-06-13,2026-06-20,DTDC,In Transit
SHP0000230,ORD0007412,WH010,2025-01-16,2025-01-18,Ecom Express,In Transit
SHP0000231,ORD0017557,WH009,2025-09-15,2025-09-16,Delhivery,In Transit
SHP0000232,ORD0010072,WH009,2025-08-23,2025-08-30,DTDC,Delivered
SHP0000233,ORD0028015,WH008,2026-07-23,2026-07-26,XpressBees,Delayed
SHP0000234,ORD0002706,WH007,2026-04-03,2026-04-11,DTDC,Delivered
SHP0000235,ORD0047027,WH008,2025-06-17,2025-06-23,Ecom Express,Delivered
SHP0000236,ORD0036931,WH003,2026-03-24,2026-04-01,BlueDart,Delivered
SHP0000237,ORD0049312,WH004,2025-04-18,2025-04-23,DTDC,Delivered
SHP0000238,ORD0022817,WH002,2026-08-01,2026-08-08,Ecom Express,In Transit
SHP0000239,ORD0042980,WH007,2026-07-04,2026-07-07,XpressBees,Delivered
SHP0000240,ORD0020487,WH007,2025-04-14,2025-04-21,XpressBees,Delivered
SHP0000241,ORD0043152,WH010,2025-08-09,2025-08-11,BlueDart,Delivered
SHP0000242,ORD0024377,WH001,2026-02-11,2026-02-16,DTDC,Delivered
SHP0000243,ORD0026344,WH006,2025-11-15,2025-11-16,Delhivery,Delivered
SHP0000244,ORD0000498,WH010,2026-03-21,2026-03-22,DTDC,Delivered
SHP0000245,ORD0016016,WH009,2026-05-13,2026-05-20,XpressBees,Delivered
SHP0000246,ORD0017894,WH008,2025-09-10,2025-09-13,Ecom Express,Delivered
SHP0000247,ORD0013804,WH003,2025-11-06,2025-11-11,Ecom Express,In Transit
SHP0000248,ORD0009747,WH009,2026-03-28,2026-04-01,DTDC,Delayed
SHP0000249,ORD0045972,WH001,2025-07-09,2025-07-14,BlueDart,In Transit
SHP0000250,ORD0044202,WH001,2025-12-02,2025-12-07,Delhivery,Delivered
SHP0000251,ORD0026061,WH009,2026-06-12,2026-06-18,XpressBees,Delivered
SHP0000252,ORD0043337,WH006,2025-01-03,2025-01-06,Ecom Express,Delivered
SHP0000253,ORD0019330,WH001,2025-03-14,2025-03-17,Ecom Express,Delayed
SHP0000254,ORD0024108,WH001,2025-02-06,2025-02-10,Delhivery,Delivered
SHP0000255,ORD0048179,WH010,2026-08-03,2026-08-06,DTDC,Delivered
SHP0000256,ORD0043239,WH001,2025-05-31,2025-06-03,BlueDart,Delivered
SHP0000257,ORD0029164,WH009,2025-09-15,2025-09-21,Ecom Express,Delivered
SHP0000258,ORD0024822,WH003,2025-06-10,2025-06-15,Delhivery,Delivered
SHP0000259,ORD0001258,WH003,2025-06-06,2025-06-08,BlueDart,Delivered
SHP0000260,ORD0045121,WH004,2025-11-03,2025-11-06,DTDC,Delivered
SHP0000261,ORD0027961,WH004,2026-04-05,2026-04-11,XpressBees,Delivered
SHP0000262,ORD0012001,WH007,2026-07-14,2026-07-19,BlueDart,Delivered
SHP0000263,ORD0021567,WH009,2026-02-21,2026-02-27,DTDC,Delivered
SHP0000264,ORD0016010,WH007,2026-05-14,2026-05-22,Ecom Express,Delivered
SHP0000265,ORD0024864,WH004,2025-11-22,2025-11-26,Delhivery,Delivered
SHP0000266,ORD0023876,WH003,2025-03-01,2025-03-05,BlueDart,In Transit
SHP0000267,ORD0038779,WH010,2025-12-27,2025-12-29,XpressBees,Delivered
SHP0000268,ORD0032342,WH009,2026-03-19,2026-03-24,Ecom Express,Delivered
SHP0000269,ORD0043505,WH002,2025-10-29,2025-10-31,XpressBees,Delivered
SHP0000270,ORD0029887,WH004,2026-04-06,2026-04-14,Delhivery,Delivered
SHP0000271,ORD0040440,WH003,2025-05-12,2025-05-20,DTDC,In Transit
SHP0000272,ORD0047954,WH006,2025-12-09,2025-12-15,DTDC,Delivered
SHP0000273,ORD0006931,WH004,2025-04-12,2025-04-13,Delhivery,Delivered
SHP0000274,ORD0009771,WH007,2025-05-12,2025-05-19,DTDC,Delivered
SHP0000275,ORD0014877,WH009,2025-01-30,2025-02-01,BlueDart,Delivered
SHP0000276,ORD0013080,WH010,2025-08-26,2025-08-31,Ecom Express,Delivered
SHP0000277,ORD0018925,WH001,2025-10-05,2025-10-07,Delhivery,Delivered
SHP0000278,ORD0022210,WH005,2025-03-25,2025-03-29,Ecom Express,Delivered
SHP0000279,ORD0042243,WH008,2025-05-31,2025-06-07,XpressBees,Delivered
SHP0000280,ORD0043689,WH006,2025-12-20,2025-12-25,Ecom Express,Delivered
SHP0000281,ORD0023441,WH003,2025-08-20,2025-08-26,Delhivery,Delivered
SHP0000282,ORD0014048,WH006,2025-07-30,2025-08-04,Ecom Express,Delivered
SHP0000283,ORD0020376,WH008,2026-08-13,2026-08-17,Ecom Express,Delivered
SHP0000284,ORD0027737,WH004,2025-10-13,2025-10-21,DTDC,Delivered
SHP0000285,ORD0000910,WH005,2025-05-11,2025-05-17,BlueDart,Delivered
SHP0000286,ORD0015124,WH007,2025-11-20,2025-11-22,BlueDart,Delivered
SHP0000287,ORD0004238,WH007,2025-05-12,2025-05-20,DTDC,Delivered
SHP0000288,ORD0027417,WH004,2026-01-11,2026-01-19,Ecom Express,Delivered
SHP0000289,ORD0044506,WH003,2025-01-03,2025-01-05,Ecom Express,Delivered
SHP0000290,ORD0042021,WH004,2026-04-13,2026-04-19,BlueDart,Delivered
SHP0000291,ORD0018782,WH006,2026-06-17,2026-06-19,BlueDart,Delivered
SHP0000292,ORD0008775,WH001,2026-02-05,2026-02-13,Ecom Express,Delivered
SHP0000293,ORD0042212,WH006,2025-09-15,2025-09-20,Ecom Express,Delivered
SHP0000294,ORD0043734,WH005,2025-12-21,2025-12-26,Ecom Express,Delivered
SHP0000295,ORD0024468,WH005,2026-01-16,2026-01-24,Ecom Express,Delayed
SHP0000296,ORD0006630,WH007,2025-03-30,2025-04-03,DTDC,Delivered
SHP0000297,ORD0033531,WH005,2025-01-01,2025-01-02,XpressBees,Delivered
SHP0000298,ORD0048464,WH007,2025-09-02,2025-09-07,DTDC,In Transit
SHP0000299,ORD0016304,WH004,2025-05-31,2025-06-03,XpressBees,In Transit
SHP0000300,ORD0044637,WH001,2026-08-17,2026-08-20,XpressBees,Delivered
SHP0000301,ORD0022325,WH008,2025-12-07,2025-12-10,BlueDart,In Transit
SHP0000302,ORD0022035,WH003,2026-05-30,2026-05-31,DTDC,In Transit
SHP0000303,ORD0001202,WH005,2025-08-26,2025-08-31,Ecom Express,Delivered
SHP0000304,ORD0007547,WH002,2026-01-12,2026-01-15,DTDC,Delivered
SHP0000305,ORD0023007,WH009,2026-08-01,2026-08-02,Ecom Express,In Transit
SHP0000306,ORD0039022,WH003,2026-01-04,2026-01-06,Ecom Express,Delivered
SHP0000307,ORD0026309,WH002,2025-12-23,2025-12-24,DTDC,Delivered
SHP0000308,ORD0009555,WH001,2026-07-14,2026-07-21,DTDC,Delivered
SHP0000309,ORD0039971,WH001,2026-04-07,2026-04-13,XpressBees,Delivered
SHP0000310,ORD0040921,WH003,2026-04-01,2026-04-05,BlueDart,Delivered
SHP0000311,ORD0000120,WH009,2025-09-29,2025-10-04,XpressBees,Delivered
SHP0000312,ORD0026770,WH004,2025-09-29,2025-10-02,XpressBees,In Transit
SHP0000313,ORD0031408,WH008,2025-06-26,2025-07-02,XpressBees,Delayed
SHP0000314,ORD0027305,WH001,2025-03-17,2025-03-18,Ecom Express,Delivered
SHP0000315,ORD0034818,WH004,2026-02-28,2026-03-05,XpressBees,Delivered
SHP0000316,ORD0022844,WH006,2026-08-08,2026-08-11,DTDC,In Transit
SHP0000317,ORD0031016,WH006,2025-03-09,2025-03-13,XpressBees,Delivered
SHP0000318,ORD0013740,WH007,2026-03-19,2026-03-21,DTDC,Delivered
SHP0000319,ORD0008570,WH002,2025-11-19,2025-11-26,BlueDart,Delivered
SHP0000320,ORD0014821,WH010,2025-04-10,2025-04-12,Ecom Express,Delayed
SHP0000321,ORD0001642,WH001,2026-02-23,2026-02-25,Delhivery,Delivered
SHP0000322,ORD0047460,WH002,2026-07-24,2026-07-30,DTDC,Delivered
SHP0000323,ORD0037116,WH006,2025-02-26,2025-03-02,XpressBees,Delivered
