product_id,product_name,category_id,supplier_id,cost_price,selling_price,reorder_level,status
PRD00063,LED Monitor D063,CAT003,SUP0048,7018.31,8790.42,31,Active
PRD00064,USB-C Hub D064,CAT004,SUP0040,11684.65,14202.77,23,Active
PRD00065,Laptop Stand D065,CAT005,SUP0049,13939.0,19240.26,60,Active
PRD00066,Office Chair D066,CAT006,SUP0081,1213.87,1731.28,41,Active
PRD00067,A4 Paper D067,CAT007,SUP0088,10482.12,13318.93,86,Active
PRD00068,Ball Pen Pack D068,CAT008,SUP0006,11959.71,16461.02,54,Discontinued
PRD00069,WiFi Router D069,CAT009,SUP0083,9949.9,11716.83,53,Active
PRD00070,Laser Printer D070,CAT010,SUP0014,12755.67,18864.77,65,Active
PRD00071,External SSD D071,CAT001,SUP0091,9562.93,14167.32,29,Discontinued
PRD00072,Power Bank D072,CAT002,SUP0084,2707.96,3679.3,44,Discontinued
PRD00073,Webcam D073,CAT003,SUP0076,7015.92,10385.62,44,Active
PRD00074,Desk Lamp D074,CAT004,SUP0012,12787.56,18954.9,45,Discontinued
PRD00075,Filing Cabinet D075,CAT005,SUP0079,3718.44,4967.4,95,Discontinued
PRD00076,Ethernet Cable D076,CAT006,SUP0042,5099.04,6872.09,33,Discontinued
PRD00077,Ink Cartridge D077,CAT007,SUP0044,3244.83,4767.09,45,Active
PRD00078,Headset D078,CAT008,SUP0025,8372.4,11358.42,20,Active
PRD00079,HDMI Cable D079,CAT009,SUP0098,10823.51,14562.29,40,Discontinued
PRD00080,Calculator D080,CAT010,SUP0003,9716.87,13082.1,21,Active
PRD00081,Wireless Mouse E081,CAT001,SUP0040,3386.22,4831.17,94,Active
PRD00082,Mechanical Keyboard E082,CAT002,SUP0055,7141.05,9728.74,105,Active
PRD00083,LED Monitor E083,CAT003,SUP0040,5329.01,7095.57,42,Active
PRD00084,USB-C Hub E084,CAT004,SUP0016,1880.19,2307.06,105,Active
PRD00085,Laptop Stand E085,CAT005,SUP0036,2937.79,4246.4,102,Active
PRD00086,Office Chair E086,CAT006,SUP0038,14709.22,21814.53,39,Active
PRD00087,A4 Paper E087,CAT007,SUP0069,2757.27,3186.46,26,Active
PRD00088,Ball Pen Pack E088,CAT008,SUP0038,759.09,889.51,99,Active
PRD00089,WiFi Router E089,CAT009,SUP0014,9597.02,13926.4,11,Active
PRD00090,Laser Printer E090,CAT010,SUP0024,7083.4,9393.92,16,Active
PRD00091,External SSD E091,CAT001,SUP0009,14120.67,18937.11,61,Discontinued
PRD00092,Power Bank E092,CAT002,SUP0007,1185.31,1661.54,29,Active
PRD00093,Webcam E093,CAT003,SUP0011,12182.24,18634.57,41,Active
PRD00094,Desk Lamp E094,CAT004,SUP0077,8406.45,11066.84,111,Active
PRD00095,Filing Cabinet E095,CAT005,SUP0057,11653.35,15174.42,48,Discontinued
PRD00096,Ethernet Cable E096,CAT006,SUP0079,4636.27,6483.41,104,Active
PRD00097,Ink Cartridge E097,CAT007,SUP0028,14218.05,17532.49,43,Active
PRD00098,Headset E098,CAT008,SUP0010,2423.29,2955.26,30,Active
PRD00099,HDMI Cable E099,CAT009,SUP0061,6175.08,8804.11,47,Active
PRD00100,Calculator E100,CAT010,SUP0090,3533.63,5062.92,120,Discontinued
PRD00101,Wireless Mouse F101,CAT001,SUP0034,1142.0,1419.93,110,Active
PRD00102,Mechanical Keyboard F102,CAT002,SUP0083,6423.07,8785.64,29,Active
PRD00103,LED Monitor F103,CAT003,SUP0022,12413.34,14629.91,111,Active
PRD00104,USB-C Hub F104,CAT004,SUP0037,8958.06,13255.21,66,Active
PRD00105,Laptop Stand F105,CAT005,SUP0052,7072.97,8994.25,44,Discontinued
PRD00106,Office Chair F106,CAT006,SUP0056,6611.36,9184.6,104,Active
PRD00107,A4 Paper F107,CAT007,SUP0030,9087.41,10544.54,96,Active
PRD00108,Ball Pen Pack F108,CAT008,SUP0035,14993.62,21274.64,83,Active
PRD00109,WiFi Router F109,CAT009,SUP0067,11465.59,13988.89,93,Discontinued
PRD00110,Laser Printer F110,CAT010,SUP0075,13747.81,16808.01,65,Discontinued
PRD00111,External SSD F111,CAT001,SUP0053,14538.3,19452.31,52,Active
PRD00112,Power Bank F112,CAT002,SUP0043,10078.39,15047.98,62,Discontinued
PRD00113,Webcam F113,CAT003,SUP0098,4380.21,6693.3,80,Active
PRD00114,Desk Lamp F114,CAT004,SUP0042,6866.0,8759.69,24,Discontinued
PRD00115,Filing Cabinet F115,CAT005,SUP0001,12984.47,19216.64,94,Discontinued
PRD00116,Ethernet Cable F116,CAT006,SUP0047,6245.65,7651.13,89,Discontinued
PRD00117,Ink Cartridge F117,CAT007,SUP0027,9411.1,13683.7,44,Active
PRD00118,Headset F118,CAT008,SUP0090,13920.88,18448.6,72,Active
PRD00119,HDMI Cable F119,CAT009,SUP0031,510.73,716.05,100,Active
PRD00120,Calculator F120,CAT010,SUP0053,4716.39,5449.65,21,Active
PRD00121,Wireless Mouse G121,CAT001,SUP0060,14884.48,22552.55,25,Active
PRD00122,Mechanical Keyboard G122,CAT002,SUP0066,7515.76,10797.45,100,Active
PRD00123,LED Monitor G123,CAT003,SUP0061,6279.12,8432.86,41,Discontinued
PRD00124,USB-C Hub G124,CAT004,SUP0077,8304.87,10824.85,75,Active
PRD00125,Laptop Stand G125,CAT005,SUP0054,12971.28,16350.28,53,Active
PRD00126,Office Chair G126,CAT006,SUP0039,12322.6,15565.11,117,Discontinued
PRD00127,A4 Paper G127,CAT007,SUP0062,12989.69,17258.35,54,Active
PRD00128,Ball Pen Pack G128,CAT008,SUP0059,8314.61,11369.17,51,Active
PRD00129,WiFi Router G129,CAT009,SUP0050,14713.16,18325.57,39,Discontinued
PRD00130,Laser Printer G130,CAT010,SUP0091,731.22,1058.72,113,Discontinued
PRD00131,External SSD G131,CAT001,SUP0084,5840.29,8266.79,29,Discontinued
PRD00132,Power Bank G132,CAT002,SUP0076,14475.18,17377.43,52,Active
PRD00133,Webcam G133,CAT003,SUP0068,13122.92,17402.6,68,Active
PRD00134,Desk Lamp G134,CAT004,SUP0084,10858.86,14268.45,29,Active
PRD00135,Filing Cabinet G135,CAT005,SUP0044,7084.8,10894.17,89,Discontinued
PRD00136,Ethernet Cable G136,CAT006,SUP0087,9775.56,14572.49,119,Discontinued
PRD00137,Ink Cartridge G137,CAT007,SUP0098,14315.76,20052.37,72,Active
PRD00138,Headset G138,CAT008,SUP0088,9292.5,11559.02,46,Active
PRD00139,HDMI Cable G139,CAT009,SUP0013,11221.75,14852.98,107,Active
PRD00140,Calculator G140,CAT010,SUP0004,6699.68,9564.47,15,Active
PRD00141,Wireless Mouse H141,CAT001,SUP0048,11958.46,15155.52,65,Active
PRD00142,Mechanical Keyboard H142,CAT002,SUP0088,3723.43,4895.64,111,Active
PRD00143,LED Monitor H143,CAT003,SUP0049,2616.16,3091.22,89,Active
PRD00144,USB-C Hub H144,CAT004,SUP0030,7505.2,10381.66,69,Active
PRD00145,Laptop Stand H145,CAT005,SUP0060,6936.79,9827.6,46,Active
PRD00146,Office Chair H146,CAT006,SUP0076,1182.02,1806.24,48,Discontinued
PRD00147,A4 Paper H147,CAT007,SUP0039,10379.48,13833.09,35,Discontinued
PRD00148,Ball Pen Pack H148,CAT008,SUP0049,12811.77,15280.1,83,Active
PRD00149,WiFi Router H149,CAT009,SUP0038,8656.19,13391.79,12,Discontinued
PRD00150,Laser Printer H150,CAT010,SUP0088,4175.25,5746.7,109,Active
PRD00151,External SSD H151,CAT001,SUP0037,13666.4,19789.89,109,Active
PRD00152,Power Bank H152,CAT002,SUP0082,9137.41,11795.74,34,Active
PRD00153,Webcam H153,CAT003,SUP0085,10192.25,14660.24,97,Active
PRD00154,Desk Lamp H154,CAT004,SUP0083,9453.46,14287.6,15,Active
PRD00155,Filing Cabinet H155,CAT005,SUP0047,11846.07,13781.08,103,Active
PRD00156,Ethernet Cable H156,CAT006,SUP0096,1424.79,1806.7,63,Active
PRD00157,Ink Cartridge H157,CAT007,SUP0047,3075.86,4504.92,77,Active
PRD00158,Headset H158,CAT008,SUP0062,12470.65,15623.08,113,Active
PRD00159,HDMI Cable H159,CAT009,SUP0015,11218.67,14421.44,69,Active
PRD00160,Calculator H160,CAT010,SUP0087,2180.09,3349.93,102,Discontinued
PRD00161,Wireless Mouse I161,CAT001,SUP0047,14511.66,21358.77,21,Discontinued
PRD00162,Mechanical Keyboard I162,CAT002,SUP0059,287.67,392.56,57,Active
PRD00163,LED Monitor I163,CAT003,SUP0048,8801.64,13017.33,23,Active
PRD00164,USB-C Hub I164,CAT004,SUP0072,7114.43,9944.68,51,Active
PRD00165,Laptop Stand I165,CAT005,SUP0060,9742.97,13680.7,99,Active
PRD00166,Office Chair I166,CAT006,SUP0006,9766.65,11687.46,14,Active
PRD00167,A4 Paper I167,CAT007,SUP0031,14939.24,17874.03,78,Active
PRD00168,Ball Pen Pack I168,CAT008,SUP0096,5878.6,7632.8,99,Discontinued
PRD00169,WiFi Router I169,CAT009,SUP0054,8843.12,12739.75,93,Active
PRD00170,Laser Printer I170,CAT010,SUP0036,12518.7,17479.37,14,Active
PRD00171,External SSD I171,CAT001,SUP0031,3321.66,4410.76,119,Active
PRD00172,Power Bank I172,CAT002,SUP0070,1562.37,2225.24,92,Active
PRD00173,Webcam I173,CAT003,SUP0016,983.41,1239.44,118,Discontinued
PRD00174,Desk Lamp I174,CAT004,SUP0082,1447.77,1787.77,86,Active
PRD00175,Filing Cabinet I175,CAT005,SUP0017,834.63,1071.17,110,Active
PRD00176,Ethernet Cable I176,CAT006,SUP0027,1103.66,1607.0,85,Active
PRD00177,Ink Cartridge I177,CAT007,SUP0100,12210.75,15180.4,28,Active
PRD00178,Headset I178,CAT008,SUP0017,4216.94,6509.32,79,Active
PRD00179,HDMI Cable I179,CAT009,SUP0004,11993.83,14320.28,26,Active
PRD00180,Calculator I180,CAT010,SUP0076,5424.97,7949.6,51,Active
PRD00181,Wireless Mouse J181,CAT001,SUP0095,2679.75,3137.88,63,Active
PRD00182,Mechanical Keyboard J182,CAT002,SUP0100,11205.33,15020.73,56,Active
PRD00183,LED Monitor J183,CAT003,SUP0079,6823.92,8452.24,15,Active
PRD00184,USB-C Hub J184,CAT004,SUP0008,6913.99,10617.2,71,Discontinued
PRD00185,Laptop Stand J185,CAT005,SUP0092,6440.0,7684.11,66,Active
PRD00186,Office Chair J186,CAT006,SUP0019,13497.06,17260.64,18,Active
PRD00187,A4 Paper J187,CAT007,SUP0071,4183.24,5870.05,101,Active
PRD00188,Ball Pen Pack J188,CAT008,SUP0038,5763.09,8004.68,68,Discontinued
PRD00189,WiFi Router J189,CAT009,SUP0084,1559.74,2231.54,93,Active
PRD00190,Laser Printer J190,CAT010,SUP0053,6496.64,9778.98,53,Discontinued
PRD00191,External SSD J191,CAT001,SUP0041,6029.05,8692.96,64,Active
PRD00192,Power Bank J192,CAT002,SUP0020,10003.41,13001.64,97,Discontinued
PRD00193,Webcam J193,CAT003,SUP0012,1081.63,1603.74,65,Active
PRD00194,Desk Lamp J194,CAT004,SUP0017,11189.27,14535.52,81,Active
PRD00195,Filing Cabinet J195,CAT005,SUP0043,8830.06,12138.11,95,Active
PRD00196,Ethernet Cable J196,CAT006,SUP0097,6209.26,9310.43,64,Active
PRD00197,Ink Cartridge J197,CAT007,SUP0046,14528.51,20197.01,23,Active
PRD00198,Headset J198,CAT008,SUP0014,2388.57,3207.55,54,Active
PRD00199,HDMI Cable J199,CAT009,SUP0029,1794.09,2263.11,113,Discontinued
PRD00200,Calculator J200,CAT010,SUP0080,12689.72,19539.87,88,Active
PRD00201,Wireless Mouse K201,CAT001,SUP0089,9166.2,12953.06,44,Active
PRD00202,Mechanical Keyboard K202,CAT002,SUP0040,2771.81,3966.68,53,Active
PRD00203,LED Monitor K203,CAT003,SUP0073,171.1,256.3,94,Discontinued
PRD00204,USB-C Hub K204,CAT004,SUP0004,1118.21,1617.37,21,Active
PRD00205,Laptop Stand K205,CAT005,SUP0021,5692.82,7579.75,57,Active
PRD00206,Office Chair K206,CAT006,SUP0073,10846.21,15843.43,86,Active
PRD00207,A4 Paper K207,CAT007,SUP0097,13259.47,16073.55,89,Active
PRD00208,Ball Pen Pack K208,CAT008,SUP0085,10135.61,12759.12,64,Discontinued
PRD00209,WiFi Router K209,CAT009,SUP0028,9137.57,12022.06,106,Active
PRD00210,Laser Printer K210,CAT010,SUP0087,5229.98,6246.46,96,Discontinued
PRD00211,External SSD K211,CAT001,SUP0029,7941.86,10112.91,60,Active
PRD00212,Power Bank K212,CAT002,SUP0028,194.69,247.37,108,Active
PRD00213,Webcam K213,CAT003,SUP0016,11481.28,14532.76,10,Discontinued
PRD00214,Desk Lamp K214,CAT004,SUP0049,11225.45,13698.17,78,Active
PRD00215,Filing Cabinet K215,CAT005,SUP0046,7543.91,11190.2,19,Discontinued
PRD00216,Ethernet Cable K216,CAT006,SUP0003,12937.52,15097.06,68,Active
PRD00217,Ink Cartridge K217,CAT007,SUP0074,12942.68,17864.83,61,Discontinued
PRD00218,Headset K218,CAT008,SUP0042,4399.57,5772.29,31,Discontinued
PRD00219,HDMI Cable K219,CAT009,SUP0012,12493.83,18964.48,65,Active
PRD00220,Calculator K220,CAT010,SUP0068,3710.28,5140.77,20,Discontinued
PRD00221,Wireless Mouse L221,CAT001,SUP0029,13068.22,18926.99,52,Active
PRD00222,Mechanical Keyboard L222,CAT002,SUP0068,1219.58,1711.42,75,Active
PRD00223,LED Monitor L223,CAT003,SUP0094,13596.37,17535.92,114,Active
PRD00224,USB-C Hub L224,CAT004,SUP0026,3605.13,4357.08,32,Active
PRD00225,Laptop Stand L225,CAT005,SUP0023,11422.41,16130.77,108,Discontinued
PRD00226,Office Chair L226,CAT006,SUP0075,7002.18,9631.46,67,Active
PRD00227,A4 Paper L227,CAT007,SUP0020,12974.56,18175.89,66,Active
PRD00228,Ball Pen Pack L228,CAT008,SUP0036,7076.3,9924.89,85,Active
PRD00229,WiFi Router L229,CAT009,SUP0060,5330.98,6288.83,67,Active
PRD00230,Laser Printer L230,CAT010,SUP0010,928.8,1377.11,92,Active
PRD00231,External SSD L231,CAT001,SUP0060,9255.93,12521.67,84,Active
PRD00232,Power Bank L232,CAT002,SUP0084,6790.03,10008.0,34,Active
PRD00233,Webcam L233,CAT003,SUP0008,9106.69,12299.01,67,Active
PRD00234,Desk Lamp L234,CAT004,SUP0092,12179.62,18086.14,20,Active
PRD00235,Filing Cabinet L235,CAT005,SUP0057,664.0,951.54,77,Active
PRD00236,Ethernet Cable L236,CAT006,SUP0050,5509.36,8358.66,62,Active
PRD00237,Ink Cartridge L237,CAT007,SUP0081,10209.15,11954.37,92,Active
PRD00238,Headset L238,CAT008,SUP0087,1063.4,1263.11,59,Active
PRD00239,HDMI Cable L239,CAT009,SUP0078,3839.78,5723.68,29,Active
PRD00240,Calculator L240,CAT010,SUP0045,1296.01,1834.43,49,Discontinued
PRD00241,Wireless Mouse M241,CAT001,SUP0011,2003.96,2872.74,49,Discontinued
PRD00242,Mechanical Keyboard M242,CAT002,SUP0017,9680.92,12405.04,95,Active
PRD00243,LED Monitor M243,CAT003,SUP0047,9718.69,12822.48,12,Active
PRD00244,USB-C Hub M244,CAT004,SUP0044,4688.28,7175.26,108,Discontinued
PRD00245,Laptop Stand M245,CAT005,SUP0020,2944.72,4564.29,19,Active
PRD00246,Office Chair M246,CAT006,SUP0099,12678.87,15093.64,79,Active
PRD00247,A4 Paper M247,CAT007,SUP0080,9955.98,14939.52,26,Discontinued
PRD00248,Ball Pen Pack M248,CAT008,SUP0089,2381.45,2910.94,108,Active
PRD00249,WiFi Router M249,CAT009,SUP0047,10840.05,12655.51,96,Active
PRD00250,Laser Printer M250,CAT010,SUP0097,14546.26,20280.95,105,Discontinued
PRD00251,External SSD M251,CAT001,SUP0061,3571.32,4448.68,116,Active
PRD00252,Power Bank M252,CAT002,SUP0057,5568.19,8512.94,69,Active
PRD00253,Webcam M253,CAT003,SUP0054,11689.61,15794.56,30,Active
PRD00254,Desk Lamp M254,CAT004,SUP0033,12034.79,14506.25,16,Discontinued
PRD00255,Filing Cabinet M255,CAT005,SUP0014,13121.82,18000.73,101,Active
PRD00256,Ethernet Cable M256,CAT006,SUP0035,4333.14,6305.79,67,Active
PRD00257,Ink Cartridge M257,CAT007,SUP0029,12479.22,14808.91,114,Discontinued
PRD00258,Headset M258,CAT008,SUP0054,13278.68,20212.66,16,Discontinued
PRD00259,HDMI Cable M259,CAT009,SUP0011,7569.95,9419.37,57,Active
PRD00260,Calculator M260,CAT010,SUP0092,500.56,762.02,93,Active
PRD00261,Wireless Mouse N261,CAT001,SUP0037,11887.4,14324.79,116,Discontinued
PRD00262,Mechanical Keyboard N262,CAT002,SUP0091,10465.39,12616.21,70,Discontinued
PRD00263,LED Monitor N263,CAT003,SUP0003,9261.0,14005.81,42,Active
PRD00264,USB-C Hub N264,CAT004,SUP0094,12537.65,17170.58,87,Discontinued
PRD00265,Laptop Stand N265,CAT005,SUP0039,1738.91,2200.14,25,Active
PRD00266,Office Chair N266,CAT006,SUP0080,3637.52,5112.83,68,Active
PRD00267,A4 Paper N267,CAT007,SUP0077,1734.0,2621.91,78,Active
PRD00268,Ball Pen Pack N268,CAT008,SUP0092,9508.77,13122.28,28,Active
PRD00269,WiFi Router N269,CAT009,SUP0031,6484.24,9051.51,83,Discontinued
PRD00270,Laser Printer N270,CAT010,SUP0068,2874.72,4074.3,56,Active
PRD00271,External SSD N271,CAT001,SUP0065,14304.78,19563.69,80,Active
PRD00272,Power Bank N272,CAT002,SUP0082,5905.57,7901.97,59,Active
PRD00273,Webcam N273,CAT003,SUP0009,3864.46,4469.24,54,Active
PRD00274,Desk Lamp N274,CAT004,SUP0099,11015.48,15436.02,84,Active
PRD00275,Filing Cabinet N275,CAT005,SUP0044,2070.47,2672.81,114,Active
PRD00276,Ethernet Cable N276,CAT006,SUP0090,12469.32,17754.73,71,Active
PRD00277,Ink Cartridge N277,CAT007,SUP0100,12187.55,14323.3,68,Active
PRD00278,Headset N278,CAT008,SUP0026,4458.16,5205.0,15,Active
PRD00279,HDMI Cable N279,CAT009,SUP0070,14005.9,18994.15,70,Active
PRD00280,Calculator N280,CAT010,SUP0037,626.38,882.42,55,Active
PRD00281,Wireless Mouse O281,CAT001,SUP0016,12997.71,16673.07,112,Active
PRD00282,Mechanical Keyboard O282,CAT002,SUP0057,6599.31,8645.15,59,Active
PRD00283,LED Monitor O283,CAT003,SUP0064,14607.96,19698.56,57,Active
PRD00284,USB-C Hub O284,CAT004,SUP0011,12033.13,17337.73,65,Active
PRD00285,Laptop Stand O285,CAT005,SUP0011,8218.48,10507.2,51,Active
PRD00286,Office Chair O286,CAT006,SUP0055,4652.92,6472.44,31,Discontinued
PRD00287,A4 Paper O287,CAT007,SUP0046,5325.08,6214.06,88,Discontinued
PRD00288,Ball Pen Pack O288,CAT008,SUP0008,4176.37,6440.01,19,Discontinued
PRD00289,WiFi Router O289,CAT009,SUP0087,5500.6,8088.29,30,Active
PRD00290,Laser Printer O290,CAT010,SUP0057,2210.27,3078.97,14,Active
PRD00291,External SSD O291,CAT001,SUP0047,1083.12,1582.88,56,Discontinued
PRD00292,Power Bank O292,CAT002,SUP0020,14246.05,16567.5,96,Discontinued
PRD00293,Webcam O293,CAT003,SUP0098,14236.45,18490.38,19,Active
PRD00294,Desk Lamp O294,CAT004,SUP0084,7979.54,10446.92,45,Active
PRD00295,Filing Cabinet O295,CAT005,SUP0024,14410.96,16721.98,73,Discontinued
PRD00296,Ethernet Cable O296,CAT006,SUP0100,13710.05,16412.36,43,Discontinued
PRD00297,Ink Cartridge O297,CAT007,SUP0089,3281.39,4576.72,72,Active
PRD00298,Headset O298,CAT008,SUP0058,1909.75,2847.69,32,Discontinued
PRD00299,HDMI Cable O299,CAT009,SUP0041,14959.16,22052.87,95,Active
PRD00300,Calculator O300,CAT010,SUP0038,10666.34,14612.87,48,Active
PRD00301,Wireless Mouse P301,CAT001,SUP0082,10700.19,16274.24,32,Active
PRD00302,Mechanical Keyboard P302,CAT002,SUP0026,7670.64,9193.61,111,Active
PRD00303,LED Monitor P303,CAT003,SUP0047,3612.1,4867.7,80,Active
PRD00304,USB-C Hub P304,CAT004,SUP0017,7053.7,10885.3,88,Active
PRD00305,Laptop Stand P305,CAT005,SUP0092,1060.96,1389.08,102,Discontinued
PRD00306,Office Chair P306,CAT006,SUP0074,7923.38,11549.64,19,Active
PRD00307,A4 Paper P307,CAT007,SUP0058,14587.91,20524.25,69,Active
PRD00308,Ball Pen Pack P308,CAT008,SUP0071,1994.75,2955.46,91,Active
PRD00309,WiFi Router P309,CAT009,SUP0065,11535.3,13860.97,17,Active
PRD00310,Laser Printer P310,CAT010,SUP0021,7810.08,9931.69,51,Active
PRD00311,External SSD P311,CAT001,SUP0037,5242.66,8002.2,118,Active
PRD00312,Power Bank P312,CAT002,SUP0071,3819.03,5362.01,45,Active
PRD00313,Webcam P313,CAT003,SUP0012,9405.33,13127.69,74,Active
PRD00314,Desk Lamp P314,CAT004,SUP0022,8909.78,12315.62,94,Active
PRD00315,Filing Cabinet P315,CAT005,SUP0004,12650.55,17400.16,20,Active
PRD00316,Ethernet Cable P316,CAT006,SUP0034,14232.32,20756.54,93,Active
PRD00317,Ink Cartridge P317,CAT007,SUP0082,11523.03,15171.62,13,Discontinued
PRD00318,Headset P318,CAT008,SUP0083,13343.83,18257.44,48,Discontinued
PRD00319,HDMI Cable P319,CAT009,SUP0052,3733.58,5499.34,48,Discontinued
PRD00320,Calculator P320,CAT010,SUP0057,1168.76,1372.08,63,Discontinued
PRD00321,Wireless Mouse Q321,CAT001,SUP0019,7009.48,9014.73,50,Active
PRD00322,Mechanical Keyboard Q322,CAT002,SUP0052,11034.26,16488.62,26,Active
PRD00323,LED Monitor Q323,CAT003,SUP0031,7763.5,9257.77,69,Active
PRD00324,USB-C Hub Q324,CAT004,SUP0013,4070.68,5084.96,16,Active
PRD00325,Laptop Stand Q325,CAT005,SUP0054,14185.14,21216.23,41,Active
PRD00326,Office Chair Q326,CAT006,SUP0093,12217.09,18612.74,50,Active
PRD00327,A4 Paper Q327,CAT007,SUP0066,11465.77,15470.83,69,Discontinued
PRD00328,Ball Pen Pack Q328,CAT008,SUP0012,13195.81,17800.46,60,Discontinued
PRD00329,WiFi Router Q329,CAT009,SUP0046,14502.96,17926.5,16,Active
PRD00330,Laser Printer Q330,CAT010,SUP0084,4277.84,5941.95,96,Discontinued
