purchase_order_id,supplier_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,status
PO0000110,SUP0007,WH003,2025-02-14,2025-02-28,2025-02-28,Delivered
PO0000111,SUP0084,WH001,2025-01-14,2025-01-23,2025-01-23,Delivered
PO0000112,SUP0015,WH007,2026-04-16,2026-04-29,2026-05-04,Delivered
PO0000113,SUP0020,WH008,2026-03-20,2026-04-03,2026-04-05,Delivered
PO0000114,SUP0049,WH001,2025-09-19,2025-09-23,2025-09-23,Delivered
PO0000115,SUP0053,WH001,2025-01-10,2025-01-17,2025-01-22,Delivered
PO0000116,SUP0067,WH005,2026-08-16,2026-08-18,2026-08-21,Delivered
PO0000117,SUP0043,WH003,2026-06-11,2026-06-20,2026-06-20,Delivered
PO0000118,SUP0025,WH009,2025-04-26,2025-05-09,2025-05-12,Delivered
PO0000119,SUP0100,WH008,2025-03-21,2025-03-27,2025-03-27,Delivered
PO0000120,SUP0076,WH010,2026-01-09,2026-01-17,2026-01-17,Delivered
PO0000121,SUP0059,WH003,2025-11-07,2025-11-12,2025-11-12,Delivered
PO0000122,SUP0086,WH007,2025-04-02,2025-04-11,2025-04-11,Delivered
PO0000123,SUP0038,WH008,2026-06-21,2026-06-26,2026-06-26,Delivered
PO0000124,SUP0093,WH005,2025-03-08,2025-03-11,2025-03-11,Delivered
PO0000125,SUP0086,WH008,2025-04-19,2025-04-28,2025-04-29,Delivered
PO0000126,SUP0056,WH006,2025-02-25,2025-03-01,2025-03-01,Delivered
PO0000127,SUP0078,WH007,2025-10-06,2025-10-09,2025-10-09,Delivered
PO0000128,SUP0090,WH004,2025-09-16,2025-09-28,2025-10-03,Delivered
PO0000129,SUP0098,WH005,2025-10-29,2025-11-12,2025-11-12,Delivered
PO0000130,SUP0056,WH008,2025-11-13,2025-11-21,2025-11-26,Delivered
PO0000131,SUP0023,WH007,2025-05-25,2025-06-06,2025-06-06,Delivered
PO0000132,SUP0036,WH003,2025-09-13,2025-09-22,2025-09-30,Delivered
PO0000133,SUP0064,WH010,2026-01-25,2026-01-31,2026-01-31,Delivered
PO0000134,SUP0088,WH010,2025-07-25,2025-08-05,2025-08-05,Delivered
PO0000135,SUP0093,WH004,2025-08-17,2025-08-25,2025-08-26,Delivered
PO0000136,SUP0077,WH009,2026-08-12,2026-08-17,2026-08-17,Delivered
PO0000137,SUP0036,WH002,2026-01-11,2026-01-20,2026-01-23,Delivered
PO0000138,SUP0033,WH001,2026-03-04,2026-03-18,2026-03-18,Cancelled
PO0000139,SUP0041,WH010,2026-04-01,2026-04-12,2026-04-12,Delivered
PO0000140,SUP0054,WH009,2026-03-29,2026-04-06,2026-04-06,Delivered
PO0000141,SUP0075,WH004,2026-01-11,2026-01-17,2026-01-17,Delivered
PO0000142,SUP0016,WH005,2025-05-21,2025-05-26,2025-05-26,Cancelled
PO0000143,SUP0025,WH003,2026-07-13,2026-07-19,2026-07-19,Delivered
PO0000144,SUP0065,WH004,2026-01-01,2026-01-06,2026-01-06,Delivered
PO0000145,SUP0019,WH003,2026-08-05,2026-08-09,2026-08-09,Delivered
PO0000146,SUP0061,WH004,2026-01-16,2026-01-29,2026-01-30,Delivered
PO0000147,SUP0083,WH009,2025-07-10,2025-07-24,2025-07-24,Delivered
PO0000148,SUP0088,WH007,2026-05-04,2026-05-08,2026-05-08,Delivered
PO0000149,SUP0021,WH002,2026-01-26,2026-02-05,2026-02-05,Delivered
PO0000150,SUP0038,WH010,2025-01-27,2025-02-04,2025-02-06,Delivered
PO0000151,SUP0018,WH003,2025-10-16,2025-10-30,2025-11-01,Delivered
PO0000152,SUP0083,WH006,2026-03-10,2026-03-23,2026-03-23,Delivered
PO0000153,SUP0094,WH007,2025-11-24,2025-11-29,2025-11-29,Delivered
PO0000154,SUP0035,WH002,2025-07-04,2025-07-11,2025-07-16,Delivered
PO0000155,SUP0016,WH008,2025-12-03,2025-12-11,2025-12-11,Cancelled
PO0000156,SUP0074,WH005,2026-06-16,2026-06-18,2026-06-21,Delivered
PO0000157,SUP0009,WH006,2025-11-15,2025-11-17,2025-11-17,Delivered
PO0000158,SUP0031,WH005,2025-11-03,2025-11-14,2025-11-14,Delivered
PO0000159,SUP0018,WH003,2025-11-12,2025-11-20,2025-11-25,Delivered
PO0000160,SUP0044,WH001,2025-08-26,2025-09-09,2025-09-11,Delivered
PO0000161,SUP0076,WH001,2026-05-28,2026-06-04,2026-06-04,Delivered
PO0000162,SUP0066,WH007,2026-03-18,2026-03-21,2026-03-23,Delivered
PO0000163,SUP0094,WH002,2025-04-30,2025-05-04,2025-05-04,Delivered
PO0000164,SUP0083,WH001,2025-11-25,2025-12-06,2025-12-09,Delivered
PO0000165,SUP0064,WH001,2025-11-04,2025-11-15,2025-11-15,Delivered
PO0000166,SUP0040,WH001,2026-04-15,2026-04-29,2026-04-29,Delivered
PO0000167,SUP0083,WH003,2025-10-07,2025-10-20,2025-10-25,Delivered
PO0000168,SUP0090,WH008,2026-01-28,2026-01-31,2026-02-03,Delivered
PO0000169,SUP0064,WH001,2025-03-03,2025-03-12,2025-03-15,Delivered
PO0000170,SUP0087,WH003,2026-08-11,2026-08-13,2026-08-18,Delivered
PO0000171,SUP0080,WH003,2025-02-15,2025-02-24,2025-02-24,Delivered
PO0000172,SUP0030,WH010,2025-01-24,2025-02-02,2025-02-03,Delivered
PO0000173,SUP0075,WH007,2026-07-12,2026-07-21,2026-07-22,Delivered
PO0000174,SUP0015,WH009,2026-02-17,2026-02-26,2026-02-26,Delivered
PO0000175,SUP0034,WH002,2025-12-22,2025-12-26,2025-12-27,Delivered
PO0000176,SUP0065,WH004,2025-04-02,2025-04-16,2025-04-16,Delivered
PO0000177,SUP0041,WH010,2025-01-20,2025-02-01,2025-02-01,Delivered
PO0000178,SUP0049,WH002,2026-08-02,2026-08-11,2026-08-12,Delivered
PO0000179,SUP0053,WH001,2026-07-22,2026-08-04,2026-08-05,Delivered
PO0000180,SUP0094,WH005,2025-01-13,2025-01-18,2025-01-20,Delivered
PO0000181,SUP0048,WH006,2026-05-31,2026-06-02,2026-06-03,Delivered
PO0000182,SUP0016,WH007,2025-10-29,2025-10-31,2025-11-03,Delivered
PO0000183,SUP0075,WH009,2026-01-31,2026-02-11,2026-02-11,Delivered
PO0000184,SUP0084,WH004,2025-08-28,2025-09-05,2025-09-10,Delivered
PO0000185,SUP0097,WH009,2025-08-10,2025-08-14,2025-08-14,Delivered
PO0000186,SUP0047,WH003,2025-05-13,2025-05-22,2025-05-22,Delivered
PO0000187,SUP0080,WH008,2025-06-25,2025-06-27,2025-07-02,Delivered
PO0000188,SUP0025,WH002,2025-01-27,2025-02-04,2025-02-04,Delivered
PO0000189,SUP0010,WH003,2026-06-03,2026-06-07,2026-06-10,Delivered
PO0000190,SUP0033,WH003,2026-05-18,2026-05-21,2026-05-21,Delivered
PO0000191,SUP0077,WH003,2025-12-03,2025-12-11,2025-12-13,Delivered
PO0000192,SUP0005,WH001,2026-03-13,2026-03-20,2026-03-21,Delivered
PO0000193,SUP0044,WH002,2026-05-08,2026-05-19,2026-05-21,Delivered
PO0000194,SUP0002,WH010,2025-07-26,2025-07-30,2025-07-30,Delivered
PO0000195,SUP0071,WH006,2025-01-03,2025-01-10,2025-01-10,Delivered
PO0000196,SUP0016,WH008,2025-12-09,2025-12-19,2025-12-19,Delivered
PO0000197,SUP0060,WH002,2025-12-21,2025-12-25,2025-12-25,Delivered
PO0000198,SUP0099,WH006,2025-05-28,2025-06-06,2025-06-09,Delivered
PO0000199,SUP0031,WH009,2026-07-04,2026-07-09,2026-07-10,Delivered
PO0000200,SUP0095,WH005,2025-04-28,2025-05-11,2025-05-12,Delivered
PO0000201,SUP0050,WH008,2025-10-07,2025-10-21,2025-10-22,Delivered
PO0000202,SUP0038,WH005,2025-10-09,2025-10-15,2025-10-15,Delivered
PO0000203,SUP0025,WH002,2026-05-04,2026-05-06,2026-05-06,Delivered
PO0000204,SUP0090,WH006,2025-03-19,2025-03-25,2025-03-26,Delivered
PO0000205,SUP0095,WH008,2026-06-30,2026-07-07,2026-07-07,Delivered
PO0000206,SUP0047,WH001,2025-07-10,2025-07-20,2025-07-20,Delivered
PO0000207,SUP0032,WH003,2025-02-21,2025-02-27,2025-02-28,Delivered
PO0000208,SUP0064,WH002,2025-05-11,2025-05-15,2025-05-15,Delivered
PO0000209,SUP0044,WH001,2026-01-11,2026-01-25,2026-01-26,Delivered
PO0000210,SUP0091,WH003,2025-05-05,2025-05-09,2025-05-10,Delivered
PO0000211,SUP0071,WH001,2026-01-16,2026-01-21,2026-01-23,Delivered
PO0000212,SUP0050,WH010,2025-07-07,2025-07-20,2025-07-20,Delivered
PO0000213,SUP0043,WH005,2026-02-07,2026-02-17,2026-02-22,Delivered
PO0000214,SUP0077,WH002,2025-01-03,2025-01-14,2025-01-14,Delivered
PO0000215,SUP0076,WH001,2025-12-13,2025-12-18,2025-12-20,Delivered
PO0000216,SUP0003,WH010,2026-06-07,2026-06-16,2026-06-16,Delivered
PO0000217,SUP0094,WH006,2026-04-03,2026-04-09,2026-04-09,Delivered
PO0000218,SUP0051,WH004,2026-03-30,2026-04-09,2026-04-11,Delivered
PO0000219,SUP0090,WH004,2026-05-21,2026-05-28,2026-05-28,Delivered
PO0000220,SUP0087,WH005,2026-08-21,2026-08-25,2026-08-26,Cancelled
PO0000221,SUP0086,WH002,2026-01-06,2026-01-08,2026-01-08,Delivered
PO0000222,SUP0009,WH010,2025-02-14,2025-02-24,2025-02-24,Delivered
PO0000223,SUP0093,WH003,2025-08-05,2025-08-15,2025-08-15,Delivered
PO0000224,SUP0046,WH008,2025-10-29,2025-11-11,2025-11-11,Delivered
PO0000225,SUP0052,WH002,2025-11-15,2025-11-19,2025-11-19,Delivered
PO0000226,SUP0027,WH001,2025-08-17,2025-08-22,2025-08-22,Delivered
PO0000227,SUP0006,WH003,2025-06-21,2025-06-29,2025-07-04,Delivered
PO0000228,SUP0031,WH005,2025-09-12,2025-09-15,2025-09-15,Delivered
PO0000229,SUP0047,WH008,2026-03-13,2026-03-25,2026-03-30,Delivered
PO0000230,SUP0059,WH002,2026-03-20,2026-03-27,2026-03-27,Delivered
PO0000231,SUP0030,WH010,2025-11-10,2025-11-20,2025-11-22,Cancelled
PO0000232,SUP0061,WH008,2026-01-18,2026-01-21,2026-01-22,Delivered
PO0000233,SUP0087,WH004,2025-02-21,2025-02-26,2025-03-03,Delivered
PO0000234,SUP0030,WH008,2025-08-05,2025-08-10,2025-08-12,Delivered
PO0000235,SUP0001,WH004,2025-12-30,2026-01-04,2026-01-06,Delivered
PO0000236,SUP0048,WH007,2026-01-08,2026-01-17,2026-01-17,Delivered
PO0000237,SUP0035,WH001,2025-03-28,2025-04-05,2025-04-05,Delivered
PO0000238,SUP0068,WH008,2025-08-29,2025-09-12,2025-09-13,Delivered
PO0000239,SUP0092,WH004,2025-04-17,2025-04-30,2025-04-30,Delivered
PO0000240,SUP0060,WH009,2026-06-01,2026-06-14,2026-06-19,Delivered
PO0000241,SUP0071,WH004,2026-05-01,2026-05-10,2026-05-10,Delivered
PO0000242,SUP0036,WH006,2025-05-23,2025-05-31,2025-06-02,Delivered
PO0000243,SUP0035,WH003,2025-01-14,2025-01-25,2025-01-25,Delivered
PO0000244,SUP0024,WH002,2025-08-23,2025-09-04,2025-09-04,Delivered
PO0000245,SUP0012,WH002,2025-11-12,2025-11-24,2025-11-24,Delivered
PO0000246,SUP0057,WH004,2025-03-11,2025-03-20,2025-03-20,Delivered
PO0000247,SUP0073,WH009,2025-09-13,2025-09-25,2025-09-25,Delivered
PO0000248,SUP0027,WH003,2025-01-13,2025-01-16,2025-01-16,Delivered
PO0000249,SUP0098,WH006,2025-06-17,2025-06-21,2025-06-26,Delivered
PO0000250,SUP0091,WH003,2025-02-23,2025-03-03,2025-03-08,Delivered
PO0000251,SUP0098,WH008,2026-06-07,2026-06-21,2026-06-21,Delivered
PO0000252,SUP0027,WH004,2025-02-16,2025-02-20,2025-02-25,Delivered
PO0000253,SUP0094,WH006,2025-04-16,2025-04-30,2025-05-03,Delivered
PO0000254,SUP0091,WH009,2026-02-19,2026-03-04,2026-03-04,Delivered
PO0000255,SUP0031,WH005,2026-08-20,2026-08-22,2026-08-22,Cancelled
PO0000256,SUP0090,WH003,2025-11-13,2025-11-21,2025-11-22,Delivered
PO0000257,SUP0080,WH006,2026-02-10,2026-02-15,2026-02-17,Delivered
PO0000258,SUP0008,WH003,2026-06-22,2026-07-05,2026-07-07,Delivered
PO0000259,SUP0052,WH006,2025-01-29,2025-02-02,2025-02-04,Delivered
PO0000260,SUP0047,WH007,2026-05-19,2026-05-28,2026-05-28,Delivered
PO0000261,SUP0078,WH003,2026-05-29,2026-06-10,2026-06-12,Delivered
PO0000262,SUP0024,WH001,2026-05-02,2026-05-10,2026-05-10,Delivered
PO0000263,SUP0077,WH008,2026-03-15,2026-03-19,2026-03-19,Delivered
PO0000264,SUP0051,WH003,2026-02-03,2026-02-10,2026-02-11,Delivered
PO0000265,SUP0058,WH008,2026-04-25,2026-05-04,2026-05-04,Delivered
PO0000266,SUP0073,WH008,2026-07-13,2026-07-18,2026-07-19,Delivered
PO0000267,SUP0040,WH001,2025-08-28,2025-09-10,2025-09-10,Delivered
PO0000268,SUP0046,WH009,2026-03-16,2026-03-20,2026-03-20,Delivered
PO0000269,SUP0036,WH008,2025-05-04,2025-05-09,2025-05-09,Delivered
PO0000270,SUP0008,WH006,2026-07-23,2026-07-28,2026-07-28,Delivered
PO0000271,SUP0064,WH009,2026-03-02,2026-03-08,2026-03-08,Delivered
PO0000272,SUP0069,WH004,2025-11-09,2025-11-22,2025-11-22,Delivered
PO0000273,SUP0001,WH004,2026-07-28,2026-08-05,2026-08-05,Delivered
PO0000274,SUP0016,WH005,2025-03-21,2025-03-31,2025-03-31,Cancelled
PO0000275,SUP0072,WH002,2025-03-26,2025-03-29,2025-04-01,Delivered
PO0000276,SUP0018,WH008,2025-06-12,2025-06-20,2025-06-22,Cancelled
PO0000277,SUP0082,WH003,2026-03-22,2026-03-28,2026-03-28,Delivered
PO0000278,SUP0034,WH006,2025-10-11,2025-10-18,2025-10-18,Delivered
PO0000279,SUP0003,WH004,2026-01-01,2026-01-13,2026-01-18,Delivered
PO0000280,SUP0005,WH003,2025-05-09,2025-05-19,2025-05-19,Delivered
PO0000281,SUP0011,WH004,2026-05-24,2026-05-29,2026-05-29,Cancelled
PO0000282,SUP0038,WH008,2025-10-03,2025-10-13,2025-10-13,Cancelled
PO0000283,SUP0041,WH001,2025-08-27,2025-09-01,2025-09-01,Cancelled
PO0000284,SUP0054,WH003,2025-08-28,2025-09-02,2025-09-02,Delivered
PO0000285,SUP0025,WH006,2025-01-06,2025-01-18,2025-01-18,Delivered
PO0000286,SUP0058,WH001,2026-05-22,2026-05-30,2026-05-30,Delivered
PO0000287,SUP0023,WH005,2026-06-10,2026-06-23,2026-06-23,Delivered
PO0000288,SUP0095,WH008,2026-04-02,2026-04-05,2026-04-13,Delivered
PO0000289,SUP0008,WH008,2025-06-17,2025-06-28,2025-06-28,Delivered
PO0000290,SUP0031,WH005,2026-02-13,2026-02-16,2026-02-19,Delivered
PO0000291,SUP0079,WH003,2026-03-13,2026-03-19,2026-03-24,Delivered
PO0000292,SUP0068,WH003,2025-10-14,2025-10-23,2025-10-23,Delivered
PO0000293,SUP0055,WH008,2025-07-16,2025-07-24,2025-07-25,Cancelled
PO0000294,SUP0088,WH001,2025-01-02,2025-01-04,2025-01-04,Delivered
PO0000295,SUP0058,WH009,2026-08-05,2026-08-13,2026-08-16,Delivered
PO0000296,SUP0080,WH002,2025-11-08,2025-11-10,2025-11-10,Delivered
PO0000297,SUP0058,WH009,2026-05-12,2026-05-19,2026-05-19,Cancelled
PO0000298,SUP0052,WH004,2025-06-06,2025-06-09,2025-06-09,Delivered
PO0000299,SUP0010,WH004,2025-01-11,2025-01-19,2025-01-19,Delivered
PO0000300,SUP0040,WH010,2025-05-05,2025-05-12,2025-05-12,Delivered
PO0000301,SUP0004,WH003,2026-02-02,2026-02-04,2026-02-04,Delivered
PO0000302,SUP0088,WH009,2026-02-01,2026-02-05,2026-02-08,Delivered
PO0000303,SUP0098,WH004,2025-04-14,2025-04-23,2025-04-23,Delivered
PO0000304,SUP0041,WH008,2026-02-20,2026-02-27,2026-02-27,Delivered
PO0000305,SUP0089,WH006,2025-03-29,2025-04-04,2025-04-05,Delivered
PO0000306,SUP0086,WH004,2025-09-23,2025-09-30,2025-10-03,Delivered
PO0000307,SUP0026,WH001,2025-11-09,2025-11-18,2025-11-18,Delivered
PO0000308,SUP0027,WH002,2025-04-08,2025-04-14,2025-04-14,Delivered
PO0000309,SUP0043,WH004,2025-03-03,2025-03-11,2025-03-14,Delivered
PO0000310,SUP0025,WH006,2026-03-13,2026-03-26,2026-03-26,Delivered
PO0000311,SUP0074,WH009,2026-05-30,2026-06-02,2026-06-02,Delivered
PO0000312,SUP0006,WH001,2026-04-23,2026-05-02,2026-05-03,Cancelled
PO0000313,SUP0076,WH010,2025-10-03,2025-10-14,2025-10-14,Delivered
PO0000314,SUP0003,WH005,2025-06-01,2025-06-04,2025-06-06,Delivered
PO0000315,SUP0097,WH005,2025-03-02,2025-03-08,2025-03-10,Delivered
PO0000316,SUP0009,WH002,2025-12-31,2026-01-03,2026-01-03,Delivered
PO0000317,SUP0051,WH003,2025-12-23,2026-01-01,2026-01-01,Delivered
PO0000318,SUP0095,WH009,2025-10-21,2025-11-02,2025-11-04,Delivered
PO0000319,SUP0026,WH009,2025-08-03,2025-08-05,2025-08-06,Delivered
PO0000320,SUP0018,WH009,2025-06-30,2025-07-13,2025-07-18,Delivered
PO0000321,SUP0049,WH002,2025-11-01,2025-11-13,2025-11-18,Delivered
PO0000322,SUP0088,WH003,2025-06-30,2025-07-08,2025-07-08,Delivered
PO0000323,SUP0082,WH003,2026-02-12,2026-02-22,2026-03-02,Delivered
PO0000324,SUP0089,WH005,2026-07-27,2026-08-07,2026-08-09,Delivered
PO0000325,SUP0037,WH007,2026-05-17,2026-05-20,2026-05-28,Delivered
PO0000326,SUP0085,WH007,2025-07-23,2025-07-31,2025-08-01,Delivered
PO0000327,SUP0017,WH005,2026-07-21,2026-08-04,2026-08-04,Delivered
PO0000328,SUP0079,WH005,2025-01-24,2025-02-04,2025-02-06,Delivered
PO0000329,SUP0098,WH010,2025-01-30,2025-02-02,2025-02-07,Delivered
PO0000330,SUP0008,WH002,2025-07-23,2025-08-04,2025-08-12,Delivered
PO0000331,SUP0088,WH007,2025-12-22,2025-12-31,2025-12-31,Delivered
